#    L    TT             EE             TE             PP             TP          
     2   0.131880E+12   0.308803E-01   0.158092E+05   0.870045E+09  -0.218008E+11
     3   0.650058E+10   0.396865E-01   0.719701E+04   0.106038E+09  -0.170440E+10
     4   0.159340E+10   0.344905E-01   0.399376E+04   0.519059E+08  -0.577499E+09
     5   0.619864E+09   0.230856E-01   0.228966E+04   0.319622E+08  -0.279966E+09
     6   0.295377E+09   0.129389E-01   0.116536E+04   0.201993E+08  -0.142673E+09
     7   0.139916E+09   0.698343E-02   0.517327E+03   0.145233E+08  -0.663915E+08
     8   0.625649E+08   0.447957E-02   0.266546E+03   0.127029E+08  -0.347727E+08
     9   0.365524E+08   0.357586E-02   0.198855E+03   0.121359E+08  -0.240120E+08
    10   0.281734E+08   0.304119E-02   0.165710E+03   0.119585E+08  -0.171378E+08
    11   0.211004E+08   0.255577E-02   0.130302E+03   0.117528E+08  -0.127794E+08
    12   0.154405E+08   0.223082E-02   0.105773E+03   0.110253E+08  -0.119011E+08
    13   0.126046E+08   0.214008E-02   0.100794E+03   0.984926E+07  -0.120059E+08
    14   0.112078E+08   0.222316E-02   0.108097E+03   0.879106E+07  -0.104873E+08
    15   0.952553E+07   0.239875E-02   0.113550E+03   0.829892E+07  -0.718707E+07
    16   0.714886E+07   0.264689E-02   0.106989E+03   0.837555E+07  -0.377779E+07
    17   0.476813E+07   0.301020E-02   0.942955E+02   0.870908E+07  -0.131810E+07
    18   0.309824E+07   0.353234E-02   0.843483E+02   0.897641E+07  -0.355197E+06
    19   0.221972E+07   0.421689E-02   0.822189E+02   0.903533E+07  -0.414999E+06
    20   0.199947E+07   0.504134E-02   0.901079E+02   0.883117E+07  -0.851066E+06
    21   0.208439E+07   0.599924E-02   0.102587E+03   0.847868E+07  -0.134879E+07
    22   0.213408E+07   0.710152E-02   0.113466E+03   0.812118E+07  -0.170614E+07
    23   0.207902E+07   0.834035E-02   0.121156E+03   0.784692E+07  -0.183954E+07
    24   0.192240E+07   0.971281E-02   0.125240E+03   0.770799E+07  -0.171604E+07
    25   0.168747E+07   0.112235E-01   0.125378E+03   0.766674E+07  -0.138672E+07
    26   0.140512E+07   0.128848E-01   0.121573E+03   0.766504E+07  -0.937904E+06
    27   0.111676E+07   0.147076E-01   0.115067E+03   0.765251E+07  -0.512860E+06
    28   0.861211E+06   0.166859E-01   0.107414E+03   0.759155E+07  -0.243201E+06
    29   0.656332E+06   0.188458E-01   0.100199E+03   0.748777E+07  -0.156959E+06
    30   0.511331E+06   0.212160E-01   0.948489E+02   0.735766E+07  -0.234245E+06
    31   0.421780E+06   0.237927E-01   0.921923E+02   0.721795E+07  -0.367070E+06
    32   0.376755E+06   0.265920E-01   0.924625E+02   0.708349E+07  -0.443183E+06
    33   0.352989E+06   0.295736E-01   0.941873E+02   0.696130E+07  -0.421374E+06
    34   0.327634E+06   0.327628E-01   0.954267E+02   0.685575E+07  -0.295825E+06
    35   0.291886E+06   0.361664E-01   0.940587E+02   0.676858E+07  -0.131220E+06
    36   0.243653E+06   0.398131E-01   0.888304E+02   0.670068E+07   0.618930E+03
    37   0.193685E+06   0.437284E-01   0.820442E+02   0.665220E+07   0.698184E+05
    38   0.153500E+06   0.479003E-01   0.764395E+02   0.662225E+07   0.661223E+05
    39   0.124869E+06   0.523183E-01   0.728994E+02   0.660650E+07   0.157862E+05
    40   0.107129E+06   0.569751E-01   0.718417E+02   0.659976E+07  -0.458067E+05
    41   0.991383E+05   0.618673E-01   0.733902E+02   0.659745E+07  -0.897030E+05
    42   0.978510E+05   0.670078E-01   0.764938E+02   0.659737E+07  -0.112670E+06
    43   0.997461E+05   0.724137E-01   0.798070E+02   0.659794E+07  -0.117904E+06
    44   0.101302E+06   0.780994E-01   0.819825E+02   0.659759E+07  -0.108602E+06
    45   0.989981E+05   0.840770E-01   0.816730E+02   0.659471E+07  -0.879625E+05
    46   0.903558E+05   0.903535E-01   0.780151E+02   0.658807E+07  -0.593805E+05
    47   0.770712E+05   0.969294E-01   0.720799E+02   0.657785E+07  -0.270515E+05
    48   0.618834E+05   0.103796E+00   0.654221E+02   0.656457E+07   0.462990E+04
    49   0.475318E+05   0.110945E+00   0.595966E+02   0.654874E+07   0.312692E+05
    50   0.367556E+05   0.118378E+00   0.561582E+02   0.653088E+07   0.484719E+05
    51   0.315852E+05   0.126099E+00   0.562435E+02   0.651131E+07   0.531309E+05
    52   0.312146E+05   0.134111E+00   0.593157E+02   0.648950E+07   0.472893E+05
    53   0.341286E+05   0.142418E+00   0.644191E+02   0.646474E+07   0.342777E+05
    54   0.388122E+05   0.151021E+00   0.705975E+02   0.643630E+07   0.174267E+05
    55   0.437505E+05   0.159924E+00   0.768940E+02   0.640345E+07   0.669472E+02
    56   0.476653E+05   0.169124E+00   0.824661E+02   0.636572E+07  -0.149236E+05
    57   0.502249E+05   0.178618E+00   0.869306E+02   0.632368E+07  -0.264774E+05
    58   0.513346E+05   0.188404E+00   0.900196E+02   0.627816E+07  -0.339795E+05
    59   0.508993E+05   0.198482E+00   0.914656E+02   0.622997E+07  -0.368148E+05
    60   0.488241E+05   0.208845E+00   0.910015E+02   0.617996E+07  -0.343684E+05
    61   0.451400E+05   0.219484E+00   0.885366E+02   0.612884E+07  -0.265271E+05
    62   0.403826E+05   0.230397E+00   0.846851E+02   0.607705E+07  -0.151849E+05
    63   0.352129E+05   0.241582E+00   0.802372E+02   0.602489E+07  -0.273755E+04
    64   0.302926E+05   0.253036E+00   0.759835E+02   0.597270E+07   0.841915E+04
    65   0.262828E+05   0.264758E+00   0.727142E+02   0.592080E+07   0.158894E+05
    66   0.236764E+05   0.276741E+00   0.710178E+02   0.586959E+07   0.179472E+05
    67   0.222915E+05   0.288979E+00   0.706765E+02   0.581980E+07   0.155452E+05
    68   0.217778E+05   0.301462E+00   0.712706E+02   0.577224E+07   0.103056E+05
    69   0.217848E+05   0.314182E+00   0.723807E+02   0.572769E+07   0.385100E+04
    70   0.219621E+05   0.327133E+00   0.735871E+02   0.568696E+07  -0.219640E+04
    71   0.220084E+05   0.340311E+00   0.745104E+02   0.565059E+07  -0.653289E+04
    72   0.218184E+05   0.353711E+00   0.749332E+02   0.561803E+07  -0.912959E+04
    73   0.213364E+05   0.367329E+00   0.746788E+02   0.558849E+07  -0.102763E+05
    74   0.205060E+05   0.381152E+00   0.735717E+02   0.556116E+07  -0.102629E+05
    75   0.192712E+05   0.395170E+00   0.714364E+02   0.553523E+07  -0.937914E+04
    76   0.176125E+05   0.409368E+00   0.681809E+02   0.550994E+07  -0.790013E+04
    77   0.156570E+05   0.423735E+00   0.640462E+02   0.548471E+07  -0.604206E+04
    78   0.135690E+05   0.438259E+00   0.593553E+02   0.545901E+07  -0.400641E+04
    79   0.115125E+05   0.452930E+00   0.544311E+02   0.543231E+07  -0.199465E+04
    80   0.965163E+04   0.467734E+00   0.495960E+02   0.540406E+07  -0.208256E+03
    81   0.811507E+04   0.482662E+00   0.451171E+02   0.537392E+07   0.119694E+04
    82   0.688999E+04   0.497703E+00   0.410376E+02   0.534230E+07   0.224766E+04
    83   0.592813E+04   0.512846E+00   0.373444E+02   0.530982E+07   0.301627E+04
    84   0.518123E+04   0.528080E+00   0.340251E+02   0.527707E+07   0.357511E+04
    85   0.460103E+04   0.543393E+00   0.310667E+02   0.524468E+07   0.399656E+04
    86   0.414430E+04   0.558776E+00   0.284559E+02   0.521308E+07   0.434146E+04
    87   0.378781E+04   0.574216E+00   0.261767E+02   0.518212E+07   0.462461E+04
    88   0.351336E+04   0.589700E+00   0.242128E+02   0.515150E+07   0.484929E+04
    89   0.330277E+04   0.605215E+00   0.225475E+02   0.512089E+07   0.501880E+04
    90   0.313786E+04   0.620743E+00   0.211640E+02   0.509000E+07   0.513643E+04
    91   0.300316E+04   0.636272E+00   0.200449E+02   0.505856E+07   0.520556E+04
    92   0.289397E+04   0.651786E+00   0.191687E+02   0.502659E+07   0.522996E+04
    93   0.280832E+04   0.667271E+00   0.185131E+02   0.499415E+07   0.521351E+04
    94   0.274420E+04   0.682714E+00   0.180558E+02   0.496131E+07   0.516008E+04
    95   0.269963E+04   0.698100E+00   0.177745E+02   0.492813E+07   0.507354E+04
    96   0.267261E+04   0.713416E+00   0.176470E+02   0.489469E+07   0.495776E+04
    97   0.266115E+04   0.728645E+00   0.176510E+02   0.486104E+07   0.481662E+04
    98   0.266325E+04   0.743774E+00   0.177644E+02   0.482726E+07   0.465398E+04
    99   0.267691E+04   0.758788E+00   0.179649E+02   0.479341E+07   0.447372E+04
   100   0.270013E+04   0.773675E+00   0.182305E+02   0.475957E+07   0.427971E+04
   101   0.273093E+04   0.788421E+00   0.185388E+02   0.472578E+07   0.407582E+04
   102   0.276729E+04   0.803004E+00   0.188675E+02   0.469213E+07   0.386592E+04
   103   0.280723E+04   0.817423E+00   0.191948E+02   0.465868E+07   0.365389E+04
   104   0.284872E+04   0.831650E+00   0.194983E+02   0.462549E+07   0.344360E+04
   105   0.288979E+04   0.845677E+00   0.197559E+02   0.459264E+07   0.323891E+04
   106   0.292842E+04   0.859490E+00   0.199456E+02   0.456019E+07   0.304371E+04
   107   0.296261E+04   0.873082E+00   0.200452E+02   0.452820E+07   0.286185E+04
   108   0.299036E+04   0.886429E+00   0.200326E+02   0.449675E+07   0.269723E+04
   109   0.300966E+04   0.899525E+00   0.198857E+02   0.446590E+07   0.255369E+04
   110   0.301853E+04   0.912349E+00   0.195823E+02   0.443571E+07   0.243512E+04
   111   0.301548E+04   0.924892E+00   0.191056E+02   0.440624E+07   0.234444E+04
   112   0.300124E+04   0.937147E+00   0.184603E+02   0.437747E+07   0.228072E+04
   113   0.297705E+04   0.949092E+00   0.176561E+02   0.434936E+07   0.224208E+04
   114   0.294414E+04   0.960712E+00   0.167031E+02   0.432189E+07   0.222666E+04
   115   0.290376E+04   0.972006E+00   0.156111E+02   0.429501E+07   0.223258E+04
   116   0.285715E+04   0.982959E+00   0.143899E+02   0.426869E+07   0.225796E+04
   117   0.280557E+04   0.993549E+00   0.130495E+02   0.424290E+07   0.230092E+04
   118   0.275025E+04   0.100378E+01   0.115999E+02   0.421761E+07   0.235960E+04
   119   0.269242E+04   0.101362E+01   0.100508E+02   0.419277E+07   0.243211E+04
   120   0.263335E+04   0.102309E+01   0.841214E+01   0.416836E+07   0.251658E+04
   121   0.257427E+04   0.103215E+01   0.669388E+01   0.414433E+07   0.261114E+04
   122   0.251641E+04   0.104080E+01   0.490580E+01   0.412066E+07   0.271390E+04
   123   0.246102E+04   0.104903E+01   0.305784E+01   0.409732E+07   0.282300E+04
   124   0.240935E+04   0.105684E+01   0.115992E+01   0.407425E+07   0.293655E+04
   125   0.236263E+04   0.106421E+01  -0.778149E+00   0.405145E+07   0.305269E+04
   126   0.232211E+04   0.107114E+01  -0.274652E+01   0.402886E+07   0.316954E+04
   127   0.228903E+04   0.107762E+01  -0.473526E+01   0.400645E+07   0.328522E+04
   128   0.226462E+04   0.108363E+01  -0.673457E+01   0.398419E+07   0.339785E+04
   129   0.225014E+04   0.108919E+01  -0.873460E+01   0.396205E+07   0.350557E+04
   130   0.224682E+04   0.109426E+01  -0.107254E+02   0.393998E+07   0.360649E+04
   131   0.225552E+04   0.109886E+01  -0.126979E+02   0.391798E+07   0.369909E+04
   132   0.227562E+04   0.110299E+01  -0.146456E+02   0.389602E+07   0.378324E+04
   133   0.230609E+04   0.110662E+01  -0.165629E+02   0.387413E+07   0.385919E+04
   134   0.234592E+04   0.110977E+01  -0.184439E+02   0.385231E+07   0.392714E+04
   135   0.239409E+04   0.111242E+01  -0.202832E+02   0.383058E+07   0.398734E+04
   136   0.244960E+04   0.111459E+01  -0.220747E+02   0.380893E+07   0.404000E+04
   137   0.251142E+04   0.111625E+01  -0.238129E+02   0.378739E+07   0.408536E+04
   138   0.257853E+04   0.111742E+01  -0.254921E+02   0.376595E+07   0.412363E+04
   139   0.264992E+04   0.111810E+01  -0.271067E+02   0.374464E+07   0.415506E+04
   140   0.272460E+04   0.111827E+01  -0.286510E+02   0.372345E+07   0.417987E+04
   141   0.280152E+04   0.111797E+01  -0.301193E+02   0.370239E+07   0.419828E+04
   142   0.287967E+04   0.111716E+01  -0.315059E+02   0.368149E+07   0.421052E+04
   143   0.295806E+04   0.111587E+01  -0.328054E+02   0.366073E+07   0.421683E+04
   144   0.303564E+04   0.111409E+01  -0.340119E+02   0.364014E+07   0.421742E+04
   145   0.311142E+04   0.111182E+01  -0.351198E+02   0.361972E+07   0.421252E+04
   146   0.318435E+04   0.110907E+01  -0.361237E+02   0.359949E+07   0.420237E+04
   147   0.325343E+04   0.110586E+01  -0.370176E+02   0.357944E+07   0.418718E+04
   148   0.331763E+04   0.110218E+01  -0.377961E+02   0.355959E+07   0.416720E+04
   149   0.337593E+04   0.109805E+01  -0.384534E+02   0.353995E+07   0.414263E+04
   150   0.342730E+04   0.109346E+01  -0.389840E+02   0.352053E+07   0.411372E+04
   151   0.347098E+04   0.108842E+01  -0.393843E+02   0.350133E+07   0.408071E+04
   152   0.350718E+04   0.108295E+01  -0.396587E+02   0.348235E+07   0.404388E+04
   153   0.353636E+04   0.107705E+01  -0.398140E+02   0.346357E+07   0.400354E+04
   154   0.355899E+04   0.107075E+01  -0.398567E+02   0.344499E+07   0.395999E+04
   155   0.357555E+04   0.106404E+01  -0.397933E+02   0.342659E+07   0.391355E+04
   156   0.358649E+04   0.105695E+01  -0.396305E+02   0.340837E+07   0.386452E+04
   157   0.359227E+04   0.104946E+01  -0.393749E+02   0.339031E+07   0.381321E+04
   158   0.359338E+04   0.104163E+01  -0.390330E+02   0.337240E+07   0.375992E+04
   159   0.359025E+04   0.103343E+01  -0.386115E+02   0.335464E+07   0.370495E+04
   160   0.358336E+04   0.102491E+01  -0.381171E+02   0.333700E+07   0.364862E+04
   161   0.357316E+04   0.101606E+01  -0.375563E+02   0.331949E+07   0.359122E+04
   162   0.356010E+04   0.100691E+01  -0.369359E+02   0.330209E+07   0.353308E+04
   163   0.354465E+04   0.997490E+00  -0.362623E+02   0.328480E+07   0.347448E+04
   164   0.352726E+04   0.987791E+00  -0.355424E+02   0.326759E+07   0.341574E+04
   165   0.350839E+04   0.977841E+00  -0.347828E+02   0.325046E+07   0.335716E+04
   166   0.348851E+04   0.967660E+00  -0.339901E+02   0.323340E+07   0.329905E+04
   167   0.346807E+04   0.957271E+00  -0.331712E+02   0.321640E+07   0.324172E+04
   168   0.344754E+04   0.946697E+00  -0.323328E+02   0.319945E+07   0.318546E+04
   169   0.342738E+04   0.935959E+00  -0.314817E+02   0.318254E+07   0.313060E+04
   170   0.340805E+04   0.925073E+00  -0.306247E+02   0.316565E+07   0.307742E+04
   171   0.339001E+04   0.914068E+00  -0.297685E+02   0.314878E+07   0.302625E+04
   172   0.337374E+04   0.902966E+00  -0.289199E+02   0.313192E+07   0.297738E+04
   173   0.335968E+04   0.891789E+00  -0.280858E+02   0.311506E+07   0.293112E+04
   174   0.334830E+04   0.880561E+00  -0.272729E+02   0.309818E+07   0.288778E+04
   175   0.334006E+04   0.869317E+00  -0.264883E+02   0.308127E+07   0.284766E+04
   176   0.333532E+04   0.858072E+00  -0.257371E+02   0.306434E+07   0.281099E+04
   177   0.333402E+04   0.846864E+00  -0.250178E+02   0.304738E+07   0.277766E+04
   178   0.333601E+04   0.835716E+00  -0.243274E+02   0.303040E+07   0.274750E+04
   179   0.334112E+04   0.824648E+00  -0.236629E+02   0.301341E+07   0.272033E+04
   180   0.334921E+04   0.813700E+00  -0.230213E+02   0.299643E+07   0.269597E+04
   181   0.336011E+04   0.802899E+00  -0.223997E+02   0.297946E+07   0.267423E+04
   182   0.337366E+04   0.792276E+00  -0.217952E+02   0.296251E+07   0.265494E+04
   183   0.338972E+04   0.781854E+00  -0.212047E+02   0.294559E+07   0.263791E+04
   184   0.340812E+04   0.771669E+00  -0.206255E+02   0.292872E+07   0.262297E+04
   185   0.342871E+04   0.761759E+00  -0.200543E+02   0.291189E+07   0.260994E+04
   186   0.345132E+04   0.752146E+00  -0.194885E+02   0.289512E+07   0.259862E+04
   187   0.347581E+04   0.742860E+00  -0.189251E+02   0.287842E+07   0.258885E+04
   188   0.350202E+04   0.733941E+00  -0.183613E+02   0.286180E+07   0.258045E+04
   189   0.352978E+04   0.725422E+00  -0.177942E+02   0.284527E+07   0.257322E+04
   190   0.355894E+04   0.717335E+00  -0.172209E+02   0.282883E+07   0.256700E+04
   191   0.358935E+04   0.709713E+00  -0.166388E+02   0.281250E+07   0.256160E+04
   192   0.362084E+04   0.702592E+00  -0.160448E+02   0.279629E+07   0.255684E+04
   193   0.365326E+04   0.696003E+00  -0.154361E+02   0.278020E+07   0.255255E+04
   194   0.368647E+04   0.689983E+00  -0.148102E+02   0.276425E+07   0.254853E+04
   195   0.372029E+04   0.684568E+00  -0.141640E+02   0.274844E+07   0.254461E+04
   196   0.375459E+04   0.679794E+00  -0.134952E+02   0.273278E+07   0.254061E+04
   197   0.378920E+04   0.675696E+00  -0.128007E+02   0.271729E+07   0.253635E+04
   198   0.382399E+04   0.672312E+00  -0.120780E+02   0.270197E+07   0.253165E+04
   199   0.385877E+04   0.669677E+00  -0.113243E+02   0.268683E+07   0.252633E+04
   200   0.389342E+04   0.667827E+00  -0.105370E+02   0.267189E+07   0.252020E+04
   201   0.392779E+04   0.666798E+00  -0.971381E+01   0.265714E+07   0.251313E+04
   202   0.396184E+04   0.666628E+00  -0.885504E+01   0.264260E+07   0.250510E+04
   203   0.399553E+04   0.667353E+00  -0.796119E+01   0.262824E+07   0.249616E+04
   204   0.402884E+04   0.669010E+00  -0.703306E+01   0.261408E+07   0.248631E+04
   205   0.406174E+04   0.671636E+00  -0.607136E+01   0.260011E+07   0.247561E+04
   206   0.409420E+04   0.675265E+00  -0.507674E+01   0.258632E+07   0.246407E+04
   207   0.412621E+04   0.679938E+00  -0.404984E+01   0.257271E+07   0.245173E+04
   208   0.415774E+04   0.685688E+00  -0.299155E+01   0.255928E+07   0.243862E+04
   209   0.418879E+04   0.692553E+00  -0.190266E+01   0.254603E+07   0.242477E+04
   210   0.421935E+04   0.700571E+00  -0.784020E+00   0.253295E+07   0.241020E+04
   211   0.424939E+04   0.709777E+00   0.363564E+00   0.252004E+07   0.239496E+04
   212   0.427892E+04   0.720208E+00   0.153925E+01   0.250730E+07   0.237906E+04
   213   0.430792E+04   0.731901E+00   0.274222E+01   0.249472E+07   0.236254E+04
   214   0.433638E+04   0.744893E+00   0.397164E+01   0.248230E+07   0.234542E+04
   215   0.436428E+04   0.759215E+00   0.522665E+01   0.247003E+07   0.232775E+04
   216   0.439160E+04   0.774910E+00   0.650639E+01   0.245792E+07   0.230954E+04
   217   0.441831E+04   0.792010E+00   0.780995E+01   0.244596E+07   0.229083E+04
   218   0.444441E+04   0.810543E+00   0.913658E+01   0.243414E+07   0.227165E+04
   219   0.446985E+04   0.830554E+00   0.104853E+02   0.242247E+07   0.225203E+04
   220   0.449463E+04   0.852073E+00   0.118553E+02   0.241094E+07   0.223200E+04
   221   0.451874E+04   0.875130E+00   0.132457E+02   0.239955E+07   0.221158E+04
   222   0.454213E+04   0.899769E+00   0.146555E+02   0.238829E+07   0.219082E+04
   223   0.456480E+04   0.926013E+00   0.160839E+02   0.237716E+07   0.216973E+04
   224   0.458675E+04   0.953898E+00   0.175300E+02   0.236616E+07   0.214835E+04
   225   0.460795E+04   0.983448E+00   0.189927E+02   0.235528E+07   0.212672E+04
   226   0.462838E+04   0.101471E+01   0.204712E+02   0.234453E+07   0.210485E+04
   227   0.464803E+04   0.104770E+01   0.219644E+02   0.233389E+07   0.208278E+04
   228   0.466689E+04   0.108246E+01   0.234716E+02   0.232337E+07   0.206053E+04
   229   0.468494E+04   0.111901E+01   0.249916E+02   0.231296E+07   0.203815E+04
   230   0.470217E+04   0.115739E+01   0.265236E+02   0.230266E+07   0.201566E+04
   231   0.471856E+04   0.119762E+01   0.280666E+02   0.229247E+07   0.199309E+04
   232   0.473410E+04   0.123972E+01   0.296196E+02   0.228237E+07   0.197046E+04
   233   0.474877E+04   0.128373E+01   0.311815E+02   0.227238E+07   0.194782E+04
   234   0.476255E+04   0.132967E+01   0.327515E+02   0.226248E+07   0.192519E+04
   235   0.477545E+04   0.137758E+01   0.343286E+02   0.225268E+07   0.190259E+04
   236   0.478742E+04   0.142747E+01   0.359117E+02   0.224296E+07   0.188007E+04
   237   0.479848E+04   0.147937E+01   0.374998E+02   0.223333E+07   0.185764E+04
   238   0.480859E+04   0.153329E+01   0.390920E+02   0.222379E+07   0.183535E+04
   239   0.481776E+04   0.158925E+01   0.406872E+02   0.221432E+07   0.181321E+04
   240   0.482597E+04   0.164729E+01   0.422844E+02   0.220493E+07   0.179127E+04
   241   0.483319E+04   0.170743E+01   0.438826E+02   0.219561E+07   0.176955E+04
   242   0.483943E+04   0.176968E+01   0.454808E+02   0.218637E+07   0.174807E+04
   243   0.484466E+04   0.183406E+01   0.470779E+02   0.217719E+07   0.172688E+04
   244   0.484888E+04   0.190058E+01   0.486730E+02   0.216808E+07   0.170600E+04
   245   0.485208E+04   0.196928E+01   0.502651E+02   0.215902E+07   0.168546E+04
   246   0.485425E+04   0.204014E+01   0.518532E+02   0.215003E+07   0.166528E+04
   247   0.485537E+04   0.211320E+01   0.534363E+02   0.214109E+07   0.164551E+04
   248   0.485545E+04   0.218848E+01   0.550134E+02   0.213220E+07   0.162617E+04
   249   0.485445E+04   0.226597E+01   0.565834E+02   0.212335E+07   0.160729E+04
   250   0.485238E+04   0.234570E+01   0.581455E+02   0.211456E+07   0.158891E+04
   251   0.484921E+04   0.242766E+01   0.596984E+02   0.210580E+07   0.157103E+04
   252   0.484497E+04   0.251187E+01   0.612412E+02   0.209709E+07   0.155367E+04
   253   0.483966E+04   0.259833E+01   0.627732E+02   0.208842E+07   0.153680E+04
   254   0.483331E+04   0.268706E+01   0.642932E+02   0.207979E+07   0.152042E+04
   255   0.482591E+04   0.277805E+01   0.658004E+02   0.207120E+07   0.150450E+04
   256   0.481749E+04   0.287130E+01   0.672940E+02   0.206265E+07   0.148905E+04
   257   0.480807E+04   0.296684E+01   0.687731E+02   0.205414E+07   0.147405E+04
   258   0.479767E+04   0.306463E+01   0.702367E+02   0.204568E+07   0.145948E+04
   259   0.478631E+04   0.316471E+01   0.716851E+02   0.203725E+07   0.144534E+04
   260   0.477403E+04   0.326706E+01   0.731159E+02   0.202887E+07   0.143160E+04
   261   0.476084E+04   0.337168E+01   0.745297E+02   0.202053E+07   0.141827E+04
   262   0.474676E+04   0.347858E+01   0.759249E+02   0.201222E+07   0.140532E+04
   263   0.473183E+04   0.358775E+01   0.773015E+02   0.200396E+07   0.139275E+04
   264   0.471605E+04   0.369918E+01   0.786577E+02   0.199574E+07   0.138054E+04
   265   0.469943E+04   0.381287E+01   0.799942E+02   0.198756E+07   0.136869E+04
   266   0.468200E+04   0.392880E+01   0.813087E+02   0.197942E+07   0.135717E+04
   267   0.466378E+04   0.404695E+01   0.826003E+02   0.197131E+07   0.134597E+04
   268   0.464479E+04   0.416733E+01   0.838696E+02   0.196325E+07   0.133509E+04
   269   0.462502E+04   0.428992E+01   0.851143E+02   0.195523E+07   0.132451E+04
   270   0.460451E+04   0.441471E+01   0.863350E+02   0.194725E+07   0.131423E+04
   271   0.458328E+04   0.454167E+01   0.875293E+02   0.193931E+07   0.130421E+04
   272   0.456134E+04   0.467081E+01   0.886978E+02   0.193140E+07   0.129447E+04
   273   0.453873E+04   0.480208E+01   0.898390E+02   0.192354E+07   0.128498E+04
   274   0.451545E+04   0.493548E+01   0.909535E+02   0.191572E+07   0.127572E+04
   275   0.449153E+04   0.507098E+01   0.920388E+02   0.190793E+07   0.126670E+04
   276   0.446699E+04   0.520857E+01   0.930957E+02   0.190019E+07   0.125790E+04
   277   0.444186E+04   0.534822E+01   0.941226E+02   0.189248E+07   0.124929E+04
   278   0.441615E+04   0.548992E+01   0.951185E+02   0.188481E+07   0.124088E+04
   279   0.438988E+04   0.563363E+01   0.960840E+02   0.187718E+07   0.123265E+04
   280   0.436309E+04   0.577930E+01   0.970177E+02   0.186959E+07   0.122459E+04
   281   0.433578E+04   0.592695E+01   0.979193E+02   0.186204E+07   0.121669E+04
   282   0.430797E+04   0.607650E+01   0.987880E+02   0.185453E+07   0.120892E+04
   283   0.427970E+04   0.622795E+01   0.996229E+02   0.184705E+07   0.120129E+04
   284   0.425098E+04   0.638127E+01   0.100423E+03   0.183961E+07   0.119378E+04
   285   0.422182E+04   0.653641E+01   0.101189E+03   0.183222E+07   0.118637E+04
   286   0.419225E+04   0.669336E+01   0.101919E+03   0.182486E+07   0.117906E+04
   287   0.416231E+04   0.685204E+01   0.102614E+03   0.181753E+07   0.117183E+04
   288   0.413200E+04   0.701245E+01   0.103271E+03   0.181025E+07   0.116468E+04
   289   0.410134E+04   0.717454E+01   0.103893E+03   0.180300E+07   0.115758E+04
   290   0.407036E+04   0.733827E+01   0.104476E+03   0.179579E+07   0.115052E+04
   291   0.403908E+04   0.750363E+01   0.105021E+03   0.178862E+07   0.114350E+04
   292   0.400752E+04   0.767046E+01   0.105528E+03   0.178149E+07   0.113651E+04
   293   0.397570E+04   0.783886E+01   0.105996E+03   0.177439E+07   0.112952E+04
   294   0.394364E+04   0.800874E+01   0.106424E+03   0.176733E+07   0.112253E+04
   295   0.391136E+04   0.817996E+01   0.106812E+03   0.176031E+07   0.111552E+04
   296   0.387888E+04   0.835260E+01   0.107159E+03   0.175332E+07   0.110849E+04
   297   0.384622E+04   0.852649E+01   0.107465E+03   0.174637E+07   0.110141E+04
   298   0.381340E+04   0.870165E+01   0.107728E+03   0.173946E+07   0.109429E+04
   299   0.378044E+04   0.887800E+01   0.107950E+03   0.173259E+07   0.108710E+04
   300   0.374736E+04   0.905546E+01   0.108130E+03   0.172575E+07   0.107984E+04
   301   0.371419E+04   0.923411E+01   0.108267E+03   0.171895E+07   0.107249E+04
   302   0.368095E+04   0.941372E+01   0.108361E+03   0.171218E+07   0.106506E+04
   303   0.364765E+04   0.959438E+01   0.108414E+03   0.170545E+07   0.105755E+04
   304   0.361429E+04   0.977600E+01   0.108426E+03   0.169876E+07   0.104995E+04
   305   0.358091E+04   0.995852E+01   0.108395E+03   0.169210E+07   0.104229E+04
   306   0.354751E+04   0.101419E+02   0.108324E+03   0.168548E+07   0.103455E+04
   307   0.351410E+04   0.103261E+02   0.108212E+03   0.167890E+07   0.102675E+04
   308   0.348071E+04   0.105110E+02   0.108059E+03   0.167235E+07   0.101889E+04
   309   0.344734E+04   0.106965E+02   0.107867E+03   0.166584E+07   0.101096E+04
   310   0.341399E+04   0.108826E+02   0.107635E+03   0.165936E+07   0.100298E+04
   311   0.338070E+04   0.110693E+02   0.107362E+03   0.165292E+07   0.994944E+03
   312   0.334746E+04   0.112564E+02   0.107051E+03   0.164651E+07   0.986860E+03
   313   0.331430E+04   0.114440E+02   0.106701E+03   0.164015E+07   0.978730E+03
   314   0.328123E+04   0.116318E+02   0.106312E+03   0.163381E+07   0.970558E+03
   315   0.324824E+04   0.118199E+02   0.105886E+03   0.162751E+07   0.962347E+03
   316   0.321538E+04   0.120083E+02   0.105421E+03   0.162125E+07   0.954101E+03
   317   0.318264E+04   0.121968E+02   0.104921E+03   0.161503E+07   0.945823E+03
   318   0.315005E+04   0.123853E+02   0.104384E+03   0.160883E+07   0.937517E+03
   319   0.311760E+04   0.125738E+02   0.103810E+03   0.160268E+07   0.929186E+03
   320   0.308532E+04   0.127624E+02   0.103201E+03   0.159656E+07   0.920833E+03
   321   0.305322E+04   0.129508E+02   0.102558E+03   0.159047E+07   0.912464E+03
   322   0.302130E+04   0.131389E+02   0.101879E+03   0.158442E+07   0.904079E+03
