#    L    TT             EE             BB             TE          
   392   0.420255E+06   0.215596E+02   0.432213E-01   0.646343E+01
   393   0.437225E+06   0.215681E+02   0.433487E-01   0.481513E+01
   394   0.450506E+06   0.215727E+02   0.434764E-01   0.316557E+01
   395   0.459986E+06   0.215732E+02   0.436045E-01   0.151513E+01
   396   0.465584E+06   0.215699E+02   0.437328E-01  -0.135945E+00
   397   0.467254E+06   0.215626E+02   0.438614E-01  -0.178736E+01
   398   0.464982E+06   0.215514E+02   0.439903E-01  -0.343888E+01
   399   0.458789E+06   0.215361E+02   0.441196E-01  -0.509021E+01
   400   0.448728E+06   0.215171E+02   0.442492E-01  -0.674111E+01
   401   0.434887E+06   0.214940E+02   0.443793E-01  -0.839120E+01
   402   0.417386E+06   0.214670E+02   0.445097E-01  -0.100396E+02
   403   0.396376E+06   0.214361E+02   0.446406E-01  -0.116854E+02
   404   0.372038E+06   0.214013E+02   0.447719E-01  -0.133276E+02
   405   0.344582E+06   0.213626E+02   0.449036E-01  -0.149652E+02
   406   0.314244E+06   0.213201E+02   0.450359E-01  -0.165974E+02
   407   0.281285E+06   0.212738E+02   0.451686E-01  -0.182231E+02
   408   0.245989E+06   0.212236E+02   0.453019E-01  -0.198414E+02
   409   0.208658E+06   0.211697E+02   0.454357E-01  -0.214512E+02
   410   0.169614E+06   0.211120E+02   0.455701E-01  -0.230518E+02
   411   0.129191E+06   0.210506E+02   0.457051E-01  -0.246423E+02
   412   0.877366E+05   0.209854E+02   0.458407E-01  -0.262217E+02
   413   0.456063E+05   0.209166E+02   0.459770E-01  -0.277895E+02
   414   0.316094E+04   0.208442E+02   0.461139E-01  -0.293446E+02
   415  -0.392357E+05   0.207682E+02   0.462515E-01  -0.308863E+02
   416  -0.812207E+05   0.206886E+02   0.463898E-01  -0.324138E+02
   417  -0.122435E+06   0.206056E+02   0.465289E-01  -0.339263E+02
   418  -0.162525E+06   0.205191E+02   0.466687E-01  -0.354230E+02
   419  -0.201150E+06   0.204291E+02   0.468093E-01  -0.369029E+02
   420  -0.237979E+06   0.203357E+02   0.469506E-01  -0.383654E+02
   421  -0.272697E+06   0.202390E+02   0.470928E-01  -0.398097E+02
   422  -0.305010E+06   0.201389E+02   0.472358E-01  -0.412348E+02
   423  -0.334642E+06   0.200354E+02   0.473796E-01  -0.426400E+02
   424  -0.361340E+06   0.199287E+02   0.475243E-01  -0.440246E+02
   425  -0.384879E+06   0.198187E+02   0.476699E-01  -0.453877E+02
   426  -0.405059E+06   0.197056E+02   0.478163E-01  -0.467291E+02
   427  -0.421709E+06   0.195895E+02   0.479636E-01  -0.480479E+02
   428  -0.434690E+06   0.194704E+02   0.481119E-01  -0.493437E+02
   429  -0.443892E+06   0.193484E+02   0.482611E-01  -0.506158E+02
   430  -0.449241E+06   0.192236E+02   0.484112E-01  -0.518636E+02
   431  -0.450693E+06   0.190961E+02   0.485622E-01  -0.530866E+02
   432  -0.448239E+06   0.189659E+02   0.487141E-01  -0.542842E+02
   433  -0.441902E+06   0.188330E+02   0.488670E-01  -0.554556E+02
   434  -0.431740E+06   0.186977E+02   0.490209E-01  -0.566005E+02
   435  -0.417843E+06   0.185598E+02   0.491756E-01  -0.577180E+02
   436  -0.400332E+06   0.184195E+02   0.493314E-01  -0.588077E+02
   437  -0.379362E+06   0.182768E+02   0.494880E-01  -0.598690E+02
   438  -0.355113E+06   0.181318E+02   0.496456E-01  -0.609011E+02
   439  -0.327797E+06   0.179845E+02   0.498041E-01  -0.619036E+02
   440  -0.297650E+06   0.178350E+02   0.499636E-01  -0.628761E+02
   441  -0.264931E+06   0.176835E+02   0.501240E-01  -0.638180E+02
   442  -0.229924E+06   0.175300E+02   0.502852E-01  -0.647288E+02
   443  -0.192930E+06   0.173745E+02   0.504474E-01  -0.656080E+02
   444  -0.154267E+06   0.172173E+02   0.506105E-01  -0.664551E+02
   445  -0.114268E+06   0.170582E+02   0.507744E-01  -0.672697E+02
   446  -0.732758E+05   0.168974E+02   0.509392E-01  -0.680513E+02
   447  -0.316423E+05   0.167351E+02   0.511049E-01  -0.687998E+02
   448   0.102758E+05   0.165714E+02   0.512714E-01  -0.695147E+02
   449   0.521196E+05   0.164062E+02   0.514387E-01  -0.701957E+02
   450   0.935311E+05   0.162396E+02   0.516069E-01  -0.708425E+02
   451   0.134157E+06   0.160719E+02   0.517758E-01  -0.714550E+02
   452   0.173650E+06   0.159031E+02   0.519455E-01  -0.720326E+02
   453   0.211673E+06   0.157332E+02   0.521160E-01  -0.725754E+02
   454   0.247904E+06   0.155623E+02   0.522872E-01  -0.730831E+02
   455   0.282034E+06   0.153906E+02   0.524592E-01  -0.735555E+02
   456   0.313772E+06   0.152181E+02   0.526319E-01  -0.739923E+02
   457   0.342852E+06   0.150448E+02   0.528053E-01  -0.743935E+02
   458   0.369026E+06   0.148710E+02   0.529794E-01  -0.747585E+02
   459   0.392073E+06   0.146966E+02   0.531541E-01  -0.750876E+02
   460   0.411801E+06   0.145218E+02   0.533296E-01  -0.753807E+02
   461   0.428045E+06   0.143467E+02   0.535056E-01  -0.756371E+02
   462   0.440669E+06   0.141714E+02   0.536823E-01  -0.758590E+02
   463   0.449569E+06   0.139960E+02   0.538596E-01  -0.760449E+02
   464   0.454674E+06   0.138206E+02   0.540375E-01  -0.761954E+02
   465   0.455944E+06   0.136454E+02   0.542160E-01  -0.763106E+02
   466   0.453373E+06   0.134704E+02   0.543951E-01  -0.763911E+02
   467   0.446988E+06   0.132957E+02   0.545747E-01  -0.764362E+02
   468   0.436847E+06   0.131215E+02   0.547549E-01  -0.764467E+02
   469   0.423042E+06   0.129478E+02   0.549356E-01  -0.764223E+02
   470   0.405695E+06   0.127747E+02   0.551169E-01  -0.763633E+02
   471   0.384960E+06   0.126022E+02   0.552986E-01  -0.762686E+02
   472   0.361016E+06   0.124307E+02   0.554809E-01  -0.761399E+02
   473   0.334073E+06   0.122600E+02   0.556637E-01  -0.759757E+02
   474   0.304364E+06   0.120903E+02   0.558470E-01  -0.757780E+02
   475   0.272148E+06   0.119217E+02   0.560308E-01  -0.755454E+02
   476   0.237703E+06   0.117543E+02   0.562150E-01  -0.752787E+02
   477   0.201325E+06   0.115882E+02   0.563998E-01  -0.749784E+02
   478   0.163328E+06   0.114235E+02   0.565849E-01  -0.746447E+02
   479   0.124038E+06   0.112603E+02   0.567706E-01  -0.742786E+02
   480   0.837941E+05   0.110988E+02   0.569567E-01  -0.738793E+02
   481   0.429398E+05   0.109389E+02   0.571432E-01  -0.734477E+02
   482   0.182535E+04   0.107808E+02   0.573301E-01  -0.729840E+02
   483  -0.391979E+05   0.106246E+02   0.575175E-01  -0.724886E+02
   484  -0.797797E+05   0.104704E+02   0.577052E-01  -0.719618E+02
   485  -0.119574E+06   0.103184E+02   0.578934E-01  -0.714039E+02
   486  -0.158243E+06   0.101684E+02   0.580820E-01  -0.708154E+02
   487  -0.195456E+06   0.100208E+02   0.582709E-01  -0.701964E+02
   488  -0.230900E+06   0.987551E+01   0.584602E-01  -0.695476E+02
   489  -0.264273E+06   0.973264E+01   0.586499E-01  -0.688694E+02
   490  -0.295294E+06   0.959236E+01   0.588399E-01  -0.681623E+02
   491  -0.323702E+06   0.945474E+01   0.590302E-01  -0.674268E+02
   492  -0.349257E+06   0.931978E+01   0.592209E-01  -0.666634E+02
   493  -0.371746E+06   0.918762E+01   0.594118E-01  -0.658725E+02
   494  -0.390982E+06   0.905841E+01   0.596031E-01  -0.650546E+02
   495  -0.406806E+06   0.893221E+01   0.597946E-01  -0.642104E+02
   496  -0.419086E+06   0.880902E+01   0.599864E-01  -0.633402E+02
   497  -0.427726E+06   0.868900E+01   0.601783E-01  -0.624446E+02
   498  -0.432655E+06   0.857220E+01   0.603705E-01  -0.615242E+02
   499  -0.433838E+06   0.845870E+01   0.605629E-01  -0.605794E+02
   500  -0.431271E+06   0.834864E+01   0.607555E-01  -0.596108E+02
   501  -0.424981E+06   0.824202E+01   0.609482E-01  -0.586189E+02
   502  -0.415029E+06   0.813898E+01   0.611410E-01  -0.576045E+02
   503  -0.401504E+06   0.803952E+01   0.613339E-01  -0.565681E+02
   504  -0.384529E+06   0.794386E+01   0.615268E-01  -0.555108E+02
   505  -0.364254E+06   0.785192E+01   0.617198E-01  -0.544331E+02
   506  -0.340856E+06   0.776384E+01   0.619128E-01  -0.533357E+02
   507  -0.314542E+06   0.767972E+01   0.621058E-01  -0.522194E+02
   508  -0.285539E+06   0.759961E+01   0.622988E-01  -0.510850E+02
   509  -0.254101E+06   0.752358E+01   0.624916E-01  -0.499331E+02
   510  -0.220499E+06   0.745168E+01   0.626843E-01  -0.487646E+02
   511  -0.185024E+06   0.738398E+01   0.628769E-01  -0.475801E+02
   512  -0.147981E+06   0.732053E+01   0.630693E-01  -0.463804E+02
   513  -0.109688E+06   0.726139E+01   0.632615E-01  -0.451662E+02
   514  -0.704758E+05   0.720664E+01   0.634535E-01  -0.439381E+02
   515  -0.306788E+05   0.715630E+01   0.636451E-01  -0.426970E+02
   516   0.936223E+04   0.711045E+01   0.638365E-01  -0.414437E+02
   517   0.493055E+05   0.706913E+01   0.640275E-01  -0.401788E+02
   518   0.888106E+05   0.703239E+01   0.642181E-01  -0.389032E+02
   519   0.127542E+06   0.700029E+01   0.644083E-01  -0.376176E+02
   520   0.165170E+06   0.697286E+01   0.645981E-01  -0.363226E+02
   521   0.201376E+06   0.695017E+01   0.647873E-01  -0.350192E+02
   522   0.235855E+06   0.693225E+01   0.649761E-01  -0.337081E+02
   523   0.268315E+06   0.691915E+01   0.651643E-01  -0.323899E+02
   524   0.298484E+06   0.691089E+01   0.653519E-01  -0.310655E+02
   525   0.326108E+06   0.690750E+01   0.655389E-01  -0.297356E+02
   526   0.350958E+06   0.690902E+01   0.657253E-01  -0.284009E+02
   527   0.372827E+06   0.691547E+01   0.659110E-01  -0.270622E+02
   528   0.391533E+06   0.692689E+01   0.660960E-01  -0.257204E+02
   529   0.406923E+06   0.694330E+01   0.662803E-01  -0.243759E+02
   530   0.418873E+06   0.696471E+01   0.664639E-01  -0.230299E+02
   531   0.427288E+06   0.699116E+01   0.666466E-01  -0.216829E+02
   532   0.432102E+06   0.702266E+01   0.668286E-01  -0.203360E+02
   533   0.433281E+06   0.705922E+01   0.670097E-01  -0.189897E+02
   534   0.430823E+06   0.710086E+01   0.671900E-01  -0.176450E+02
   535   0.424755E+06   0.714761E+01   0.673695E-01  -0.163027E+02
   536   0.415136E+06   0.719947E+01   0.675480E-01  -0.149635E+02
   537   0.402055E+06   0.725646E+01   0.677257E-01  -0.136283E+02
   538   0.385631E+06   0.731857E+01   0.679024E-01  -0.122977E+02
   539   0.366009E+06   0.738580E+01   0.680782E-01  -0.109727E+02
   540   0.343364E+06   0.745815E+01   0.682530E-01  -0.965384E+01
   541   0.317894E+06   0.753564E+01   0.684269E-01  -0.834194E+01
   542   0.289821E+06   0.761826E+01   0.685998E-01  -0.703781E+01
   543   0.259390E+06   0.770600E+01   0.687717E-01  -0.574217E+01
   544   0.226865E+06   0.779886E+01   0.689426E-01  -0.445576E+01
   545   0.192526E+06   0.789681E+01   0.691124E-01  -0.317927E+01
   546   0.156671E+06   0.799986E+01   0.692813E-01  -0.191342E+01
   547   0.119606E+06   0.810796E+01   0.694491E-01  -0.658929E+00
   548   0.816491E+05   0.822105E+01   0.696159E-01   0.583512E+00
   549   0.431262E+05   0.833928E+01   0.697817E-01   0.181317E+01
   550   0.436568E+04   0.846241E+01   0.699463E-01   0.302933E+01
   551  -0.343024E+05   0.859060E+01   0.701100E-01   0.423126E+01
   552  -0.725493E+05   0.872369E+01   0.702725E-01   0.541825E+01
   553  -0.110051E+06   0.886168E+01   0.704340E-01   0.658960E+01
   554  -0.146489E+06   0.900458E+01   0.705944E-01   0.774460E+01
   555  -0.181558E+06   0.915229E+01   0.707538E-01   0.888254E+01
   556  -0.214960E+06   0.930484E+01   0.709120E-01   0.100027E+02
   557  -0.246418E+06   0.946213E+01   0.710692E-01   0.111045E+02
   558  -0.275666E+06   0.962417E+01   0.712252E-01   0.121871E+02
   559  -0.302462E+06   0.979087E+01   0.713802E-01   0.132501E+02
   560  -0.326583E+06   0.996225E+01   0.715340E-01   0.142927E+02
   561  -0.347831E+06   0.101382E+02   0.716868E-01   0.153143E+02
   562  -0.366031E+06   0.103187E+02   0.718384E-01   0.163146E+02
   563  -0.381035E+06   0.105036E+02   0.719889E-01   0.172925E+02
   564  -0.392725E+06   0.106930E+02   0.721382E-01   0.182478E+02
   565  -0.401007E+06   0.108867E+02   0.722864E-01   0.191797E+02
   566  -0.405819E+06   0.110849E+02   0.724335E-01   0.200879E+02
   567  -0.407129E+06   0.112872E+02   0.725794E-01   0.209717E+02
   568  -0.404934E+06   0.114937E+02   0.727241E-01   0.218305E+02
   569  -0.399261E+06   0.117043E+02   0.728677E-01   0.226640E+02
   570  -0.390166E+06   0.119189E+02   0.730101E-01   0.234716E+02
   571  -0.377735E+06   0.121376E+02   0.731513E-01   0.242526E+02
   572  -0.362082E+06   0.123601E+02   0.732913E-01   0.250069E+02
   573  -0.343346E+06   0.125864E+02   0.734301E-01   0.257339E+02
   574  -0.321696E+06   0.128166E+02   0.735676E-01   0.264331E+02
   575  -0.297321E+06   0.130503E+02   0.737040E-01   0.271044E+02
   576  -0.270436E+06   0.132877E+02   0.738391E-01   0.277472E+02
   577  -0.241276E+06   0.135286E+02   0.739729E-01   0.283612E+02
   578  -0.210092E+06   0.137729E+02   0.741055E-01   0.289459E+02
   579  -0.177156E+06   0.140206E+02   0.742368E-01   0.295010E+02
   580  -0.142752E+06   0.142715E+02   0.743669E-01   0.300262E+02
   581  -0.107175E+06   0.145256E+02   0.744956E-01   0.305210E+02
   582  -0.707302E+05   0.147827E+02   0.746230E-01   0.309852E+02
   583  -0.337297E+05   0.150429E+02   0.747491E-01   0.314183E+02
   584   0.351097E+04   0.153059E+02   0.748739E-01   0.318200E+02
   585   0.406750E+05   0.155717E+02   0.749974E-01   0.321900E+02
   586   0.774470E+05   0.158403E+02   0.751195E-01   0.325280E+02
   587   0.113516E+06   0.161114E+02   0.752403E-01   0.328338E+02
   588   0.148577E+06   0.163850E+02   0.753598E-01   0.331072E+02
   589   0.182335E+06   0.166610E+02   0.754778E-01   0.333479E+02
   590   0.214507E+06   0.169393E+02   0.755945E-01   0.335557E+02
   591   0.244823E+06   0.172198E+02   0.757098E-01   0.337305E+02
   592   0.273032E+06   0.175025E+02   0.758238E-01   0.338720E+02
   593   0.298900E+06   0.177870E+02   0.759364E-01   0.339800E+02
   594   0.322211E+06   0.180735E+02   0.760476E-01   0.340544E+02
   595   0.342777E+06   0.183617E+02   0.761574E-01   0.340952E+02
   596   0.360428E+06   0.186516E+02   0.762658E-01   0.341022E+02
   597   0.375023E+06   0.189430E+02   0.763729E-01   0.340752E+02
   598   0.386446E+06   0.192358E+02   0.764786E-01   0.340142E+02
   599   0.394609E+06   0.195300E+02   0.765829E-01   0.339191E+02
   600   0.399450E+06   0.198254E+02   0.766858E-01   0.337898E+02
   601   0.400937E+06   0.201218E+02   0.767874E-01   0.336264E+02
   602   0.399067E+06   0.204192E+02   0.768877E-01   0.334291E+02
   603   0.393864E+06   0.207175E+02   0.769866E-01   0.331977E+02
   604   0.385381E+06   0.210166E+02   0.770842E-01   0.329326E+02
   605   0.373699E+06   0.213162E+02   0.771805E-01   0.326338E+02
   606   0.358925E+06   0.216164E+02   0.772755E-01   0.323014E+02
   607   0.341193E+06   0.219170E+02   0.773692E-01   0.319355E+02
   608   0.320660E+06   0.222179E+02   0.774616E-01   0.315364E+02
   609   0.297509E+06   0.225189E+02   0.775528E-01   0.311042E+02
   610   0.271943E+06   0.228200E+02   0.776428E-01   0.306392E+02
   611   0.244185E+06   0.231208E+02   0.777316E-01   0.301413E+02
   612   0.214475E+06   0.234215E+02   0.778191E-01   0.296109E+02
   613   0.183071E+06   0.237219E+02   0.779055E-01   0.290481E+02
   614   0.150243E+06   0.240218E+02   0.779908E-01   0.284533E+02
   615   0.116274E+06   0.243211E+02   0.780749E-01   0.278266E+02
   616   0.814535E+05   0.246197E+02   0.781579E-01   0.271687E+02
   617   0.460792E+05   0.249175E+02   0.782399E-01   0.264797E+02
   618   0.104519E+05   0.252145E+02   0.783208E-01   0.257600E+02
   619  -0.251261E+05   0.255105E+02   0.784006E-01   0.250100E+02
   620  -0.603539E+05   0.258054E+02   0.784795E-01   0.242300E+02
   621  -0.949344E+05   0.260991E+02   0.785574E-01   0.234203E+02
   622  -0.128577E+06   0.263913E+02   0.786344E-01   0.225813E+02
   623  -0.160999E+06   0.266822E+02   0.787105E-01   0.217134E+02
   624  -0.191931E+06   0.269715E+02   0.787856E-01   0.208169E+02
   625  -0.221115E+06   0.272591E+02   0.788599E-01   0.198921E+02
   626  -0.248309E+06   0.275448E+02   0.789334E-01   0.189394E+02
   627  -0.273289E+06   0.278286E+02   0.790060E-01   0.179592E+02
   628  -0.295851E+06   0.281103E+02   0.790778E-01   0.169518E+02
   629  -0.315810E+06   0.283898E+02   0.791489E-01   0.159178E+02
   630  -0.333006E+06   0.286671E+02   0.792193E-01   0.148576E+02
   631  -0.347301E+06   0.289418E+02   0.792889E-01   0.137717E+02
   632  -0.358583E+06   0.292142E+02   0.793578E-01   0.126606E+02
   633  -0.366767E+06   0.294838E+02   0.794261E-01   0.115246E+02
   634  -0.371791E+06   0.297507E+02   0.794938E-01   0.103643E+02
   635  -0.373624E+06   0.300148E+02   0.795608E-01   0.918031E+01
   636  -0.372258E+06   0.302759E+02   0.796272E-01   0.797305E+01
   637  -0.367717E+06   0.305340E+02   0.796930E-01   0.674310E+01
   638  -0.360046E+06   0.307889E+02   0.797583E-01   0.549102E+01
   639  -0.349322E+06   0.310405E+02   0.798230E-01   0.421733E+01
   640  -0.335644E+06   0.312888E+02   0.798873E-01   0.292260E+01
   641  -0.319137E+06   0.315336E+02   0.799510E-01   0.160738E+01
   642  -0.299949E+06   0.317748E+02   0.800142E-01   0.272300E+00
   643  -0.278250E+06   0.320124E+02   0.800770E-01  -0.108201E+01
   644  -0.254231E+06   0.322462E+02   0.801393E-01  -0.245490E+01
   645  -0.228103E+06   0.324761E+02   0.802012E-01  -0.384574E+01
   646  -0.200094E+06   0.327019E+02   0.802627E-01  -0.525389E+01
   647  -0.170445E+06   0.329236E+02   0.803238E-01  -0.667865E+01
   648  -0.139412E+06   0.331411E+02   0.803845E-01  -0.811949E+01
   649  -0.107261E+06   0.333544E+02   0.804448E-01  -0.957555E+01
   650  -0.742687E+05   0.335632E+02   0.805048E-01  -0.110463E+02
   651  -0.407151E+05   0.337677E+02   0.805644E-01  -0.125309E+02
   652  -0.688563E+04   0.339677E+02   0.806237E-01  -0.140288E+02
   653   0.269331E+05   0.341631E+02   0.806827E-01  -0.155396E+02
   654   0.604556E+05   0.343540E+02   0.807414E-01  -0.170628E+02
   655   0.933998E+05   0.345402E+02   0.807999E-01  -0.185978E+02
   656   0.125489E+06   0.347217E+02   0.808580E-01  -0.201439E+02
   657   0.156456E+06   0.348984E+02   0.809159E-01  -0.217009E+02
   658   0.186042E+06   0.350703E+02   0.809736E-01  -0.232678E+02
   659   0.214002E+06   0.352372E+02   0.810310E-01  -0.248444E+02
   660   0.240106E+06   0.353991E+02   0.810883E-01  -0.264299E+02
   661   0.264139E+06   0.355558E+02   0.811453E-01  -0.280238E+02
   662   0.285904E+06   0.357074E+02   0.812022E-01  -0.296255E+02
   663   0.305226E+06   0.358537E+02   0.812589E-01  -0.312343E+02
   664   0.321950E+06   0.359947E+02   0.813155E-01  -0.328497E+02
   665   0.335943E+06   0.361304E+02   0.813719E-01  -0.344711E+02
   666   0.347095E+06   0.362606E+02   0.814283E-01  -0.360979E+02
   667   0.355323E+06   0.363855E+02   0.814846E-01  -0.377294E+02
   668   0.360565E+06   0.365049E+02   0.815408E-01  -0.393650E+02
   669   0.362789E+06   0.366186E+02   0.815969E-01  -0.410042E+02
   670   0.361984E+06   0.367268E+02   0.816531E-01  -0.426463E+02
   671   0.358168E+06   0.368294E+02   0.817093E-01  -0.442906E+02
   672   0.351382E+06   0.369263E+02   0.817654E-01  -0.459367E+02
   673   0.341695E+06   0.370175E+02   0.818217E-01  -0.475838E+02
   674   0.329196E+06   0.371030E+02   0.818780E-01  -0.492314E+02
   675   0.314001E+06   0.371827E+02   0.819343E-01  -0.508789E+02
   676   0.296246E+06   0.372566E+02   0.819909E-01  -0.525254E+02
   677   0.276091E+06   0.373248E+02   0.820475E-01  -0.541707E+02
   678   0.253711E+06   0.373870E+02   0.821043E-01  -0.558137E+02
   679   0.229304E+06   0.374432E+02   0.821614E-01  -0.574540E+02
   680   0.203082E+06   0.374936E+02   0.822186E-01  -0.590909E+02
   681   0.175272E+06   0.375379E+02   0.822761E-01  -0.607236E+02
   682   0.146113E+06   0.375762E+02   0.823338E-01  -0.623516E+02
   683   0.115855E+06   0.376084E+02   0.823919E-01  -0.639741E+02
   684   0.847562E+05   0.376345E+02   0.824503E-01  -0.655907E+02
   685   0.530821E+05   0.376547E+02   0.825090E-01  -0.672009E+02
   686   0.211008E+05   0.376688E+02   0.825681E-01  -0.688036E+02
   687  -0.109176E+05   0.376770E+02   0.826276E-01  -0.703991E+02
   688  -0.427036E+05   0.376792E+02   0.826876E-01  -0.719869E+02
   689  -0.739905E+05   0.376755E+02   0.827479E-01  -0.735657E+02
   690  -0.104517E+06   0.376660E+02   0.828088E-01  -0.751348E+02
   691  -0.134029E+06   0.376506E+02   0.828702E-01  -0.766945E+02
   692  -0.162281E+06   0.376293E+02   0.829320E-01  -0.782441E+02
   693  -0.189041E+06   0.376021E+02   0.829945E-01  -0.797831E+02
   694  -0.214089E+06   0.375691E+02   0.830575E-01  -0.813102E+02
   695  -0.237220E+06   0.375303E+02   0.831211E-01  -0.828255E+02
   696  -0.258246E+06   0.374855E+02   0.831852E-01  -0.843278E+02
   697  -0.276999E+06   0.374350E+02   0.832501E-01  -0.858172E+02
   698  -0.293328E+06   0.373787E+02   0.833155E-01  -0.872923E+02
   699  -0.307104E+06   0.373165E+02   0.833816E-01  -0.887535E+02
   700  -0.318222E+06   0.372487E+02   0.834484E-01  -0.902000E+02
   701  -0.326596E+06   0.371752E+02   0.835159E-01  -0.916314E+02
   702  -0.332167E+06   0.370959E+02   0.835841E-01  -0.930468E+02
   703  -0.334898E+06   0.370111E+02   0.836530E-01  -0.944462E+02
   704  -0.334776E+06   0.369207E+02   0.837226E-01  -0.958272E+02
   705  -0.331811E+06   0.368248E+02   0.837930E-01  -0.971907E+02
   706  -0.326040E+06   0.367234E+02   0.838641E-01  -0.985349E+02
   707  -0.317520E+06   0.366167E+02   0.839359E-01  -0.998598E+02
   708  -0.306334E+06   0.365045E+02   0.840086E-01  -0.101165E+03
   709  -0.292584E+06   0.363872E+02   0.840819E-01  -0.102449E+03
   710  -0.276396E+06   0.362646E+02   0.841561E-01  -0.103712E+03
   711  -0.257914E+06   0.361368E+02   0.842310E-01  -0.104954E+03
   712  -0.237301E+06   0.360039E+02   0.843067E-01  -0.106172E+03
   713  -0.214739E+06   0.358659E+02   0.843831E-01  -0.107366E+03
   714  -0.190423E+06   0.357229E+02   0.844603E-01  -0.108537E+03
   715  -0.164565E+06   0.355750E+02   0.845383E-01  -0.109683E+03
   716  -0.137386E+06   0.354221E+02   0.846171E-01  -0.110804E+03
   717  -0.109120E+06   0.352644E+02   0.846966E-01  -0.111898E+03
   718  -0.800069E+05   0.351018E+02   0.847769E-01  -0.112966E+03
   719  -0.502951E+05   0.349345E+02   0.848579E-01  -0.114007E+03
   720  -0.202356E+05   0.347626E+02   0.849397E-01  -0.115020E+03
   721   0.991828E+04   0.345863E+02   0.850223E-01  -0.116005E+03
   722   0.399135E+05   0.344054E+02   0.851055E-01  -0.116962E+03
   723   0.694991E+05   0.342204E+02   0.851895E-01  -0.117890E+03
   724   0.984286E+05   0.340312E+02   0.852743E-01  -0.118789E+03
   725   0.126462E+06   0.338379E+02   0.853597E-01  -0.119658E+03
   726   0.153368E+06   0.336406E+02   0.854459E-01  -0.120497E+03
   727   0.178925E+06   0.334394E+02   0.855327E-01  -0.121306E+03
   728   0.202924E+06   0.332343E+02   0.856203E-01  -0.122084E+03
   729   0.225170E+06   0.330256E+02   0.857085E-01  -0.122829E+03
   730   0.245483E+06   0.328131E+02   0.857974E-01  -0.123543E+03
   731   0.263700E+06   0.325972E+02   0.858870E-01  -0.124225E+03
   732   0.279676E+06   0.323777E+02   0.859773E-01  -0.124874E+03
   733   0.293287E+06   0.321549E+02   0.860682E-01  -0.125489E+03
   734   0.304428E+06   0.319287E+02   0.861597E-01  -0.126070E+03
   735   0.313014E+06   0.316995E+02   0.862519E-01  -0.126618E+03
   736   0.318982E+06   0.314672E+02   0.863447E-01  -0.127131E+03
   737   0.322295E+06   0.312319E+02   0.864382E-01  -0.127609E+03
   738   0.322933E+06   0.309938E+02   0.865322E-01  -0.128053E+03
   739   0.320901E+06   0.307529E+02   0.866269E-01  -0.128460E+03
   740   0.316227E+06   0.305095E+02   0.867222E-01  -0.128831E+03
   741   0.308960E+06   0.302636E+02   0.868180E-01  -0.129168E+03
   742   0.299171E+06   0.300153E+02   0.869145E-01  -0.129468E+03
   743   0.286951E+06   0.297648E+02   0.870115E-01  -0.129731E+03
   744   0.272412E+06   0.295122E+02   0.871091E-01  -0.129957E+03
   745   0.255685E+06   0.292576E+02   0.872073E-01  -0.130147E+03
   746   0.236917E+06   0.290011E+02   0.873061E-01  -0.130300E+03
   747   0.216274E+06   0.287429E+02   0.874054E-01  -0.130415E+03
   748   0.193935E+06   0.284830E+02   0.875053E-01  -0.130493E+03
   749   0.170095E+06   0.282216E+02   0.876057E-01  -0.130534E+03
   750   0.144957E+06   0.279587E+02   0.877067E-01  -0.130537E+03
   751   0.118736E+06   0.276946E+02   0.878082E-01  -0.130502E+03
   752   0.916578E+05   0.274292E+02   0.879103E-01  -0.130428E+03
   753   0.639500E+05   0.271627E+02   0.880129E-01  -0.130318E+03
   754   0.358472E+05   0.268952E+02   0.881160E-01  -0.130170E+03
   755   0.758554E+04   0.266270E+02   0.882196E-01  -0.129985E+03
   756  -0.205982E+05   0.263581E+02   0.883237E-01  -0.129762E+03
   757  -0.484690E+05   0.260886E+02   0.884284E-01  -0.129503E+03
   758  -0.757952E+05   0.258187E+02   0.885335E-01  -0.129208E+03
   759  -0.102351E+06   0.255485E+02   0.886391E-01  -0.128876E+03
   760  -0.127917E+06   0.252782E+02   0.887452E-01  -0.128508E+03
   761  -0.152285E+06   0.250080E+02   0.888518E-01  -0.128105E+03
   762  -0.175255E+06   0.247377E+02   0.889588E-01  -0.127665E+03
   763  -0.196642E+06   0.244677E+02   0.890662E-01  -0.127190E+03
   764  -0.216273E+06   0.241979E+02   0.891741E-01  -0.126679E+03
   765  -0.233991E+06   0.239286E+02   0.892825E-01  -0.126133E+03
   766  -0.249656E+06   0.236599E+02   0.893912E-01  -0.125552E+03
   767  -0.263146E+06   0.233917E+02   0.895003E-01  -0.124935E+03
   768  -0.274357E+06   0.231243E+02   0.896098E-01  -0.124282E+03
   769  -0.283204E+06   0.228578E+02   0.897197E-01  -0.123596E+03
   770  -0.289622E+06   0.225924E+02   0.898299E-01  -0.122876E+03
   771  -0.293569E+06   0.223282E+02   0.899405E-01  -0.122122E+03
   772  -0.295020E+06   0.220653E+02   0.900513E-01  -0.121335E+03
   773  -0.293975E+06   0.218039E+02   0.901625E-01  -0.120515E+03
   774  -0.290451E+06   0.215440E+02   0.902739E-01  -0.119663E+03
   775  -0.284488E+06   0.212859E+02   0.903855E-01  -0.118780E+03
   776  -0.276145E+06   0.210296E+02   0.904974E-01  -0.117866E+03
