#    L    TT             EE             BB             TE          
    92  -0.261927E+06   0.653995E+00   0.267509E-02   0.191260E+02
    93  -0.259538E+06   0.669510E+00   0.273434E-02   0.184706E+02
    94  -0.254715E+06   0.684984E+00   0.279432E-02   0.180135E+02
    95  -0.247478E+06   0.700401E+00   0.285502E-02   0.177325E+02
    96  -0.237865E+06   0.715746E+00   0.291643E-02   0.176053E+02
    97  -0.225938E+06   0.731005E+00   0.297856E-02   0.176098E+02
    98  -0.211776E+06   0.746164E+00   0.304141E-02   0.177236E+02
    99  -0.195481E+06   0.761207E+00   0.310499E-02   0.179246E+02
   100  -0.177175E+06   0.776124E+00   0.316928E-02   0.181907E+02
   101  -0.156997E+06   0.790900E+00   0.323428E-02   0.184997E+02
   102  -0.135105E+06   0.805512E+00   0.330001E-02   0.188291E+02
   103  -0.111671E+06   0.819962E+00   0.336645E-02   0.191573E+02
   104  -0.868850E+05   0.834219E+00   0.343361E-02   0.194617E+02
   105  -0.609497E+05   0.848276E+00   0.350147E-02   0.197204E+02
   106  -0.340792E+05   0.862119E+00   0.357006E-02   0.199114E+02
   107  -0.649830E+04   0.875741E+00   0.363935E-02   0.200123E+02
   108   0.215600E+05   0.889120E+00   0.370935E-02   0.200011E+02
   109   0.498563E+05   0.902248E+00   0.378005E-02   0.198559E+02
   110   0.781468E+05   0.915103E+00   0.385147E-02   0.195543E+02
   111   0.106186E+06   0.927679E+00   0.392359E-02   0.190795E+02
   112   0.133731E+06   0.939968E+00   0.399641E-02   0.184364E+02
   113   0.160540E+06   0.951947E+00   0.406994E-02   0.176345E+02
   114   0.186377E+06   0.963601E+00   0.414417E-02   0.166840E+02
   115   0.211012E+06   0.974931E+00   0.421910E-02   0.155946E+02
   116   0.234222E+06   0.985921E+00   0.429474E-02   0.143764E+02
   117   0.255796E+06   0.996549E+00   0.437108E-02   0.130391E+02
   118   0.275535E+06   0.100681E+01   0.444813E-02   0.115927E+02
   119   0.293254E+06   0.101670E+01   0.452588E-02   0.100471E+02
   120   0.308783E+06   0.102621E+01   0.460435E-02   0.841220E+01
   121   0.321973E+06   0.103531E+01   0.468353E-02   0.669786E+01
   122   0.332690E+06   0.104401E+01   0.476342E-02   0.491391E+01
   123   0.340822E+06   0.105229E+01   0.484404E-02   0.307029E+01
