#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   474   0.228789E+04  -0.777417E+02   0.554913E-05  -0.777417E+02   0.120287E+02   0.140739E-05   0.554913E-05   0.140739E-05   0.205435E-07
   475   0.229956E+04  -0.775083E+02   0.541124E-05  -0.775083E+02   0.118536E+02   0.139104E-05   0.541124E-05   0.139104E-05   0.204804E-07
   476   0.231119E+04  -0.772397E+02   0.527626E-05  -0.772397E+02   0.116797E+02   0.137437E-05   0.527626E-05   0.137437E-05   0.204176E-07
   477   0.232278E+04  -0.769367E+02   0.514418E-05  -0.769367E+02   0.115070E+02   0.135741E-05   0.514418E-05   0.135741E-05   0.203551E-07
   478   0.233434E+04  -0.765992E+02   0.501500E-05  -0.765992E+02   0.113357E+02   0.134016E-05   0.501500E-05   0.134016E-05   0.202929E-07
   479   0.234586E+04  -0.762282E+02   0.488873E-05  -0.762282E+02   0.111659E+02   0.132264E-05   0.488873E-05   0.132264E-05   0.202309E-07
   480   0.235733E+04  -0.758232E+02   0.476536E-05  -0.758232E+02   0.109977E+02   0.130488E-05   0.476536E-05   0.130488E-05   0.201692E-07
   481   0.236875E+04  -0.753849E+02   0.464489E-05  -0.753849E+02   0.108311E+02   0.128688E-05   0.464489E-05   0.128688E-05   0.201078E-07
   482   0.238011E+04  -0.749135E+02   0.452733E-05  -0.749135E+02   0.106663E+02   0.126867E-05   0.452733E-05   0.126867E-05   0.200466E-07
   483   0.239140E+04  -0.744093E+02   0.441268E-05  -0.744093E+02   0.105034E+02   0.125025E-05   0.441268E-05   0.125025E-05   0.199856E-07
   484   0.240261E+04  -0.738727E+02   0.430093E-05  -0.738727E+02   0.103425E+02   0.123165E-05   0.430093E-05   0.123165E-05   0.199250E-07
   485   0.241373E+04  -0.733041E+02   0.419209E-05  -0.733041E+02   0.101837E+02   0.121288E-05   0.419209E-05   0.121288E-05   0.198646E-07
   486   0.242477E+04  -0.727037E+02   0.408616E-05  -0.727037E+02   0.100270E+02   0.119396E-05   0.408616E-05   0.119396E-05   0.198044E-07
   487   0.243571E+04  -0.720719E+02   0.398313E-05  -0.720719E+02   0.987260E+01   0.117491E-05   0.398313E-05   0.117491E-05   0.197445E-07
   488   0.244654E+04  -0.714092E+02   0.388302E-05  -0.714092E+02   0.972062E+01   0.115573E-05   0.388302E-05   0.115573E-05   0.196848E-07
   489   0.245727E+04  -0.707160E+02   0.378581E-05  -0.707160E+02   0.957102E+01   0.113645E-05   0.378581E-05   0.113645E-05   0.196254E-07
   490   0.246789E+04  -0.699928E+02   0.369152E-05  -0.699928E+02   0.942401E+01   0.111709E-05   0.369152E-05   0.111709E-05   0.195663E-07
   491   0.247839E+04  -0.692401E+02   0.360013E-05  -0.692401E+02   0.927968E+01   0.109765E-05   0.360013E-05   0.109765E-05   0.195074E-07
   492   0.248878E+04  -0.684583E+02   0.351166E-05  -0.684583E+02   0.913802E+01   0.107816E-05   0.351166E-05   0.107816E-05   0.194487E-07
   493   0.249906E+04  -0.676480E+02   0.342610E-05  -0.676480E+02   0.899919E+01   0.105863E-05   0.342610E-05   0.105863E-05   0.193903E-07
   494   0.250922E+04  -0.668096E+02   0.334345E-05  -0.668096E+02   0.886333E+01   0.103908E-05   0.334345E-05   0.103908E-05   0.193321E-07
   495   0.251926E+04  -0.659436E+02   0.326371E-05  -0.659436E+02   0.873051E+01   0.101953E-05   0.326371E-05   0.101953E-05   0.192742E-07
   496   0.252916E+04  -0.650505E+02   0.318689E-05  -0.650505E+02   0.860074E+01   0.999984E-06   0.318689E-05   0.999984E-06   0.192165E-07
   497   0.253893E+04  -0.641308E+02   0.311298E-05  -0.641308E+02   0.847416E+01   0.980468E-06   0.311298E-05   0.980468E-06   0.191591E-07
   498   0.254855E+04  -0.631852E+02   0.304199E-05  -0.631852E+02   0.835085E+01   0.960995E-06   0.304199E-05   0.960995E-06   0.191019E-07
   499   0.255803E+04  -0.622140E+02   0.297391E-05  -0.622140E+02   0.823089E+01   0.941583E-06   0.297391E-05   0.941583E-06   0.190449E-07
   500   0.256735E+04  -0.612177E+02   0.290875E-05  -0.612177E+02   0.811441E+01   0.922247E-06   0.290875E-05   0.922247E-06   0.189881E-07
   501   0.257651E+04  -0.601969E+02   0.284650E-05  -0.601969E+02   0.800143E+01   0.903001E-06   0.284650E-05   0.903001E-06   0.189316E-07
   502   0.258550E+04  -0.591525E+02   0.278712E-05  -0.591525E+02   0.789208E+01   0.883845E-06   0.278712E-05   0.883845E-06   0.188754E-07
   503   0.259432E+04  -0.580848E+02   0.273058E-05  -0.580848E+02   0.778638E+01   0.864780E-06   0.273058E-05   0.864780E-06   0.188193E-07
   504   0.260295E+04  -0.569950E+02   0.267682E-05  -0.569950E+02   0.768454E+01   0.845802E-06   0.267682E-05   0.845802E-06   0.187635E-07
   505   0.261142E+04  -0.558836E+02   0.262580E-05  -0.558836E+02   0.758648E+01   0.826910E-06   0.262580E-05   0.826910E-06   0.187079E-07
   506   0.261970E+04  -0.547513E+02   0.257749E-05  -0.547513E+02   0.749237E+01   0.808103E-06   0.257749E-05   0.808103E-06   0.186526E-07
   507   0.262779E+04  -0.535989E+02   0.253183E-05  -0.535989E+02   0.740228E+01   0.789378E-06   0.253183E-05   0.789378E-06   0.185974E-07
   508   0.263569E+04  -0.524271E+02   0.248879E-05  -0.524271E+02   0.731629E+01   0.770735E-06   0.248879E-05   0.770735E-06   0.185425E-07
   509   0.264338E+04  -0.512367E+02   0.244832E-05  -0.512367E+02   0.723446E+01   0.752172E-06   0.244832E-05   0.752172E-06   0.184878E-07
   510   0.265088E+04  -0.500285E+02   0.241038E-05  -0.500285E+02   0.715685E+01   0.733686E-06   0.241038E-05   0.733686E-06   0.184334E-07
   511   0.265816E+04  -0.488031E+02   0.237493E-05  -0.488031E+02   0.708353E+01   0.715277E-06   0.237493E-05   0.715277E-06   0.183791E-07
   512   0.266524E+04  -0.475613E+02   0.234192E-05  -0.475613E+02   0.701456E+01   0.696943E-06   0.234192E-05   0.696943E-06   0.183251E-07
   513   0.267209E+04  -0.463039E+02   0.231131E-05  -0.463039E+02   0.695001E+01   0.678681E-06   0.231131E-05   0.678681E-06   0.182713E-07
   514   0.267872E+04  -0.450315E+02   0.228306E-05  -0.450315E+02   0.688993E+01   0.660491E-06   0.228306E-05   0.660491E-06   0.182177E-07
   515   0.268512E+04  -0.437450E+02   0.225712E-05  -0.437450E+02   0.683439E+01   0.642371E-06   0.225712E-05   0.642371E-06   0.181644E-07
   516   0.269129E+04  -0.424452E+02   0.223345E-05  -0.424452E+02   0.678345E+01   0.624319E-06   0.223345E-05   0.624319E-06   0.181112E-07
   517   0.269722E+04  -0.411328E+02   0.221201E-05  -0.411328E+02   0.673715E+01   0.606334E-06   0.221201E-05   0.606334E-06   0.180583E-07
   518   0.270290E+04  -0.398086E+02   0.219276E-05  -0.398086E+02   0.669555E+01   0.588414E-06   0.219276E-05   0.588414E-06   0.180055E-07
   519   0.270833E+04  -0.384734E+02   0.217564E-05  -0.384734E+02   0.665872E+01   0.570556E-06   0.217564E-05   0.570556E-06   0.179530E-07
   520   0.271351E+04  -0.371279E+02   0.216063E-05  -0.371279E+02   0.662668E+01   0.552761E-06   0.216063E-05   0.552761E-06   0.179007E-07
   521   0.271842E+04  -0.357730E+02   0.214767E-05  -0.357730E+02   0.659952E+01   0.535026E-06   0.214767E-05   0.535026E-06   0.178486E-07
   522   0.272307E+04  -0.344095E+02   0.213672E-05  -0.344095E+02   0.657726E+01   0.517348E-06   0.213672E-05   0.517348E-06   0.177967E-07
   523   0.272744E+04  -0.330381E+02   0.212774E-05  -0.330381E+02   0.655996E+01   0.499728E-06   0.212774E-05   0.499728E-06   0.177450E-07
   524   0.273154E+04  -0.316597E+02   0.212069E-05  -0.316597E+02   0.654764E+01   0.482163E-06   0.212069E-05   0.482163E-06   0.176936E-07
   525   0.273537E+04  -0.302749E+02   0.211553E-05  -0.302749E+02   0.654035E+01   0.464651E-06   0.211553E-05   0.464651E-06   0.176423E-07
   526   0.273892E+04  -0.288847E+02   0.211220E-05  -0.288847E+02   0.653810E+01   0.447191E-06   0.211220E-05   0.447191E-06   0.175912E-07
   527   0.274219E+04  -0.274898E+02   0.211067E-05  -0.274898E+02   0.654095E+01   0.429781E-06   0.211067E-05   0.429781E-06   0.175403E-07
   528   0.274518E+04  -0.260910E+02   0.211089E-05  -0.260910E+02   0.654892E+01   0.412420E-06   0.211089E-05   0.412420E-06   0.174897E-07
   529   0.274788E+04  -0.246890E+02   0.211283E-05  -0.246890E+02   0.656204E+01   0.395106E-06   0.211283E-05   0.395106E-06   0.174392E-07
   530   0.275030E+04  -0.232849E+02   0.211643E-05  -0.232849E+02   0.658033E+01   0.377837E-06   0.211643E-05   0.377837E-06   0.173889E-07
   531   0.275243E+04  -0.218793E+02   0.212166E-05  -0.218793E+02   0.660382E+01   0.360612E-06   0.212166E-05   0.360612E-06   0.173389E-07
   532   0.275427E+04  -0.204732E+02   0.212847E-05  -0.204732E+02   0.663253E+01   0.343429E-06   0.212847E-05   0.343429E-06   0.172890E-07
   533   0.275581E+04  -0.190674E+02   0.213682E-05  -0.190674E+02   0.666648E+01   0.326286E-06   0.213682E-05   0.326286E-06   0.172393E-07
   534   0.275705E+04  -0.176628E+02   0.214667E-05  -0.176628E+02   0.670569E+01   0.309182E-06   0.214667E-05   0.309182E-06   0.171898E-07
   535   0.275800E+04  -0.162601E+02   0.215797E-05  -0.162601E+02   0.675018E+01   0.292115E-06   0.215797E-05   0.292115E-06   0.171405E-07
   536   0.275863E+04  -0.148603E+02   0.217067E-05  -0.148603E+02   0.679997E+01   0.275084E-06   0.217067E-05   0.275084E-06   0.170914E-07
   537   0.275897E+04  -0.134642E+02   0.218475E-05  -0.134642E+02   0.685507E+01   0.258086E-06   0.218475E-05   0.258086E-06   0.170425E-07
   538   0.275900E+04  -0.120726E+02   0.220015E-05  -0.120726E+02   0.691549E+01   0.241121E-06   0.220015E-05   0.241121E-06   0.169937E-07
   539   0.275873E+04  -0.106863E+02   0.221683E-05  -0.106863E+02   0.698121E+01   0.224186E-06   0.221683E-05   0.224186E-06   0.169452E-07
   540   0.275813E+04  -0.930600E+01   0.223474E-05  -0.930600E+01   0.705226E+01   0.207280E-06   0.223474E-05   0.207280E-06   0.168968E-07
   541   0.275724E+04  -0.793259E+01   0.225385E-05  -0.793259E+01   0.712864E+01   0.190402E-06   0.225385E-05   0.190402E-06   0.168487E-07
   542   0.275603E+04  -0.656691E+01   0.227412E-05  -0.656691E+01   0.721034E+01   0.173549E-06   0.227412E-05   0.173549E-06   0.168007E-07
   543   0.275450E+04  -0.520968E+01   0.229549E-05  -0.520968E+01   0.729738E+01   0.156721E-06   0.229549E-05   0.156721E-06   0.167529E-07
   544   0.275267E+04  -0.386171E+01   0.231793E-05  -0.386171E+01   0.738973E+01   0.139914E-06   0.231793E-05   0.139914E-06   0.167052E-07
   545   0.275052E+04  -0.252371E+01   0.234138E-05  -0.252371E+01   0.748739E+01   0.123129E-06   0.234138E-05   0.123129E-06   0.166578E-07
   546   0.274806E+04  -0.119644E+01   0.236582E-05  -0.119644E+01   0.759035E+01   0.106363E-06   0.236582E-05   0.106363E-06   0.166105E-07
   547   0.274527E+04   0.119346E+00   0.239120E-05   0.119346E+00   0.769858E+01   0.896140E-07   0.239120E-05   0.896140E-07   0.165634E-07
   548   0.274217E+04   0.142293E+01   0.241746E-05   0.142293E+01   0.781202E+01   0.728811E-07   0.241746E-05   0.728811E-07   0.165165E-07
   549   0.273875E+04   0.271354E+01   0.244458E-05   0.271354E+01   0.793080E+01   0.561625E-07   0.244458E-05   0.561625E-07   0.164697E-07
   550   0.273501E+04   0.399043E+01   0.247251E-05   0.399043E+01   0.805471E+01   0.394565E-07   0.247251E-05   0.394565E-07   0.164232E-07
   551   0.273095E+04   0.525286E+01   0.250120E-05   0.525286E+01   0.818389E+01   0.227623E-07   0.250120E-05   0.227623E-07   0.163768E-07
   552   0.272657E+04   0.650007E+01   0.253065E-05   0.650007E+01   0.831820E+01   0.608210E-08   0.253065E-05   0.608210E-08   0.163305E-07
   553   0.272189E+04   0.773134E+01   0.256085E-05   0.773134E+01   0.845763E+01  -0.105810E-07   0.256085E-05  -0.105810E-07   0.162845E-07
   554   0.271691E+04   0.894594E+01   0.259179E-05   0.894594E+01   0.860219E+01  -0.272238E-07   0.259179E-05  -0.272238E-07   0.162386E-07
   555   0.271164E+04   0.101431E+02   0.262347E-05   0.101431E+02   0.875180E+01  -0.438435E-07   0.262347E-05  -0.438435E-07   0.161929E-07
   556   0.270606E+04   0.113222E+02   0.265587E-05   0.113222E+02   0.890646E+01  -0.604368E-07   0.265587E-05  -0.604368E-07   0.161474E-07
   557   0.270022E+04   0.124824E+02   0.268899E-05   0.124824E+02   0.906610E+01  -0.770007E-07   0.268899E-05  -0.770007E-07   0.161020E-07
   558   0.269410E+04   0.136231E+02   0.272283E-05   0.136231E+02   0.923072E+01  -0.935322E-07   0.272283E-05  -0.935322E-07   0.160568E-07
   559   0.268771E+04   0.147437E+02   0.275737E-05   0.147437E+02   0.940024E+01  -0.110028E-06   0.275737E-05  -0.110028E-06   0.160118E-07
   560   0.268105E+04   0.158435E+02   0.279261E-05   0.158435E+02   0.957466E+01  -0.126486E-06   0.279261E-05  -0.126486E-06   0.159669E-07
   561   0.267414E+04   0.169219E+02   0.282853E-05   0.169219E+02   0.975384E+01  -0.142901E-06   0.282853E-05  -0.142901E-06   0.159222E-07
   562   0.266697E+04   0.179783E+02   0.286514E-05   0.179783E+02   0.993785E+01  -0.159273E-06   0.286514E-05  -0.159273E-06   0.158777E-07
   563   0.265956E+04   0.190120E+02   0.290243E-05   0.190120E+02   0.101265E+02  -0.175596E-06   0.290243E-05  -0.175596E-06   0.158334E-07
   564   0.265191E+04   0.200223E+02   0.294038E-05   0.200223E+02   0.103199E+02  -0.191868E-06   0.294038E-05  -0.191868E-06   0.157892E-07
   565   0.264403E+04   0.210089E+02   0.297899E-05   0.210089E+02   0.105179E+02  -0.208087E-06   0.297899E-05  -0.208087E-06   0.157452E-07
   566   0.263591E+04   0.219711E+02   0.301826E-05   0.219711E+02   0.107204E+02  -0.224249E-06   0.301826E-05  -0.224249E-06   0.157014E-07
   567   0.262758E+04   0.229083E+02   0.305817E-05   0.229083E+02   0.109274E+02  -0.240350E-06   0.305817E-05  -0.240350E-06   0.156577E-07
   568   0.261903E+04   0.238199E+02   0.309872E-05   0.238199E+02   0.111388E+02  -0.256389E-06   0.309872E-05  -0.256389E-06   0.156143E-07
   569   0.261027E+04   0.247056E+02   0.313990E-05   0.247056E+02   0.113546E+02  -0.272361E-06   0.313990E-05  -0.272361E-06   0.155709E-07
   570   0.260131E+04   0.255647E+02   0.318170E-05   0.255647E+02   0.115746E+02  -0.288265E-06   0.318170E-05  -0.288265E-06   0.155278E-07
   571   0.259215E+04   0.263966E+02   0.322412E-05   0.263966E+02   0.117989E+02  -0.304095E-06   0.322412E-05  -0.304095E-06   0.154848E-07
   572   0.258281E+04   0.272010E+02   0.326714E-05   0.272010E+02   0.120273E+02  -0.319851E-06   0.326714E-05  -0.319851E-06   0.154420E-07
   573   0.257329E+04   0.279773E+02   0.331077E-05   0.279773E+02   0.122597E+02  -0.335528E-06   0.331077E-05  -0.335528E-06   0.153994E-07
   574   0.256358E+04   0.287253E+02   0.335499E-05   0.287253E+02   0.124961E+02  -0.351124E-06   0.335499E-05  -0.351124E-06   0.153569E-07
   575   0.255373E+04   0.294444E+02   0.339980E-05   0.294444E+02   0.127365E+02  -0.366635E-06   0.339980E-05  -0.366635E-06   0.153146E-07
   576   0.254371E+04   0.301343E+02   0.344519E-05   0.301343E+02   0.129806E+02  -0.382059E-06   0.344519E-05  -0.382059E-06   0.152725E-07
   577   0.253356E+04   0.307945E+02   0.349115E-05   0.307945E+02   0.132285E+02  -0.397391E-06   0.349115E-05  -0.397391E-06   0.152306E-07
   578   0.252326E+04   0.314245E+02   0.353767E-05   0.314245E+02   0.134800E+02  -0.412631E-06   0.353767E-05  -0.412631E-06   0.151888E-07
   579   0.251283E+04   0.320241E+02   0.358475E-05   0.320241E+02   0.137352E+02  -0.427773E-06   0.358475E-05  -0.427773E-06   0.151472E-07
   580   0.250228E+04   0.325929E+02   0.363238E-05   0.325929E+02   0.139938E+02  -0.442815E-06   0.363238E-05  -0.442815E-06   0.151057E-07
   581   0.249161E+04   0.331304E+02   0.368055E-05   0.331304E+02   0.142558E+02  -0.457755E-06   0.368055E-05  -0.457755E-06   0.150644E-07
   582   0.248084E+04   0.336361E+02   0.372925E-05   0.336361E+02   0.145211E+02  -0.472589E-06   0.372925E-05  -0.472589E-06   0.150233E-07
   583   0.246997E+04   0.341098E+02   0.377849E-05   0.341098E+02   0.147895E+02  -0.487313E-06   0.377849E-05  -0.487313E-06   0.149824E-07
   584   0.245901E+04   0.345511E+02   0.382824E-05   0.345511E+02   0.150612E+02  -0.501925E-06   0.382824E-05  -0.501925E-06   0.149416E-07
   585   0.244797E+04   0.349595E+02   0.387850E-05   0.349595E+02   0.153357E+02  -0.516423E-06   0.387850E-05  -0.516423E-06   0.149010E-07
   586   0.243684E+04   0.353348E+02   0.392927E-05   0.353348E+02   0.156132E+02  -0.530802E-06   0.392927E-05  -0.530802E-06   0.148606E-07
   587   0.242565E+04   0.356768E+02   0.398054E-05   0.356768E+02   0.158936E+02  -0.545059E-06   0.398054E-05  -0.545059E-06   0.148203E-07
   588   0.241441E+04   0.359851E+02   0.403229E-05   0.359851E+02   0.161766E+02  -0.559192E-06   0.403229E-05  -0.559192E-06   0.147803E-07
   589   0.240310E+04   0.362595E+02   0.408453E-05   0.362595E+02   0.164622E+02  -0.573198E-06   0.408453E-05  -0.573198E-06   0.147403E-07
   590   0.239176E+04   0.364998E+02   0.413724E-05   0.364998E+02   0.167504E+02  -0.587074E-06   0.413724E-05  -0.587074E-06   0.147006E-07
   591   0.238038E+04   0.367057E+02   0.419043E-05   0.367057E+02   0.170409E+02  -0.600815E-06   0.419043E-05  -0.600815E-06   0.146610E-07
   592   0.236897E+04   0.368768E+02   0.424407E-05   0.368768E+02   0.173337E+02  -0.614420E-06   0.424407E-05  -0.614420E-06   0.146216E-07
   593   0.235754E+04   0.370131E+02   0.429816E-05   0.370131E+02   0.176287E+02  -0.627886E-06   0.429816E-05  -0.627886E-06   0.145823E-07
   594   0.234610E+04   0.371145E+02   0.435270E-05   0.371145E+02   0.179257E+02  -0.641208E-06   0.435270E-05  -0.641208E-06   0.145432E-07
   595   0.233465E+04   0.371806E+02   0.440768E-05   0.371806E+02   0.182247E+02  -0.654385E-06   0.440768E-05  -0.654385E-06   0.145043E-07
   596   0.232321E+04   0.372115E+02   0.446309E-05   0.372115E+02   0.185255E+02  -0.667413E-06   0.446309E-05  -0.667413E-06   0.144656E-07
   597   0.231178E+04   0.372068E+02   0.451892E-05   0.372068E+02   0.188281E+02  -0.680289E-06   0.451892E-05  -0.680289E-06   0.144270E-07
   598   0.230037E+04   0.371666E+02   0.457517E-05   0.371666E+02   0.191322E+02  -0.693010E-06   0.457517E-05  -0.693010E-06   0.143886E-07
   599   0.228898E+04   0.370905E+02   0.463183E-05   0.370905E+02   0.194379E+02  -0.705573E-06   0.463183E-05  -0.705573E-06   0.143504E-07
   600   0.227763E+04   0.369787E+02   0.468889E-05   0.369787E+02   0.197449E+02  -0.717974E-06   0.468889E-05  -0.717974E-06   0.143123E-07
   601   0.226633E+04   0.368310E+02   0.474634E-05   0.368310E+02   0.200531E+02  -0.730212E-06   0.474634E-05  -0.730212E-06   0.142744E-07
   602   0.225506E+04   0.366476E+02   0.480417E-05   0.366476E+02   0.203625E+02  -0.742287E-06   0.480417E-05  -0.742287E-06   0.142366E-07
   603   0.224385E+04   0.364285E+02   0.486237E-05   0.364285E+02   0.206729E+02  -0.754199E-06   0.486237E-05  -0.754199E-06   0.141991E-07
   604   0.223269E+04   0.361738E+02   0.492091E-05   0.361738E+02   0.209842E+02  -0.765950E-06   0.492091E-05  -0.765950E-06   0.141616E-07
   605   0.222158E+04   0.358836E+02   0.497980E-05   0.358836E+02   0.212963E+02  -0.777540E-06   0.497980E-05  -0.777540E-06   0.141244E-07
   606   0.221054E+04   0.355580E+02   0.503901E-05   0.355580E+02   0.216090E+02  -0.788971E-06   0.503901E-05  -0.788971E-06   0.140873E-07
   607   0.219956E+04   0.351970E+02   0.509853E-05   0.351970E+02   0.219223E+02  -0.800242E-06   0.509853E-05  -0.800242E-06   0.140504E-07
   608   0.218865E+04   0.348008E+02   0.515834E-05   0.348008E+02   0.222360E+02  -0.811356E-06   0.515834E-05  -0.811356E-06   0.140136E-07
   609   0.217782E+04   0.343698E+02   0.521843E-05   0.343698E+02   0.225500E+02  -0.822313E-06   0.521843E-05  -0.822313E-06   0.139770E-07
   610   0.216704E+04   0.339039E+02   0.527880E-05   0.339039E+02   0.228641E+02  -0.833113E-06   0.527880E-05  -0.833113E-06   0.139406E-07
   611   0.215636E+04   0.334033E+02   0.533941E-05   0.334033E+02   0.231781E+02  -0.843758E-06   0.533941E-05  -0.843758E-06   0.139043E-07
   612   0.214575E+04   0.328681E+02   0.540026E-05   0.328681E+02   0.234921E+02  -0.854249E-06   0.540026E-05  -0.854249E-06   0.138681E-07
   613   0.213523E+04   0.322986E+02   0.546134E-05   0.322986E+02   0.238059E+02  -0.864586E-06   0.546134E-05  -0.864586E-06   0.138321E-07
   614   0.212480E+04   0.316951E+02   0.552263E-05   0.316951E+02   0.241192E+02  -0.874771E-06   0.552263E-05  -0.874771E-06   0.137963E-07
   615   0.211445E+04   0.310578E+02   0.558412E-05   0.310578E+02   0.244321E+02  -0.884804E-06   0.558412E-05  -0.884804E-06   0.137606E-07
   616   0.210421E+04   0.303873E+02   0.564578E-05   0.303873E+02   0.247444E+02  -0.894687E-06   0.564578E-05  -0.894687E-06   0.137251E-07
   617   0.209406E+04   0.296837E+02   0.570762E-05   0.296837E+02   0.250560E+02  -0.904419E-06   0.570762E-05  -0.904419E-06   0.136897E-07
   618   0.208402E+04   0.289475E+02   0.576961E-05   0.289475E+02   0.253668E+02  -0.914003E-06   0.576961E-05  -0.914003E-06   0.136545E-07
   619   0.207409E+04   0.281790E+02   0.583174E-05   0.281790E+02   0.256766E+02  -0.923439E-06   0.583174E-05  -0.923439E-06   0.136194E-07
   620   0.206426E+04   0.273785E+02   0.589400E-05   0.273785E+02   0.259855E+02  -0.932727E-06   0.589400E-05  -0.932727E-06   0.135844E-07
   621   0.205455E+04   0.265464E+02   0.595637E-05   0.265464E+02   0.262932E+02  -0.941869E-06   0.595637E-05  -0.941869E-06   0.135496E-07
   622   0.204496E+04   0.256831E+02   0.601884E-05   0.256831E+02   0.265995E+02  -0.950866E-06   0.601884E-05  -0.950866E-06   0.135150E-07
   623   0.203548E+04   0.247890E+02   0.608139E-05   0.247890E+02   0.269045E+02  -0.959718E-06   0.608139E-05  -0.959718E-06   0.134805E-07
   624   0.202613E+04   0.238644E+02   0.614401E-05   0.238644E+02   0.272080E+02  -0.968427E-06   0.614401E-05  -0.968427E-06   0.134461E-07
   625   0.201690E+04   0.229096E+02   0.620669E-05   0.229096E+02   0.275098E+02  -0.976993E-06   0.620669E-05  -0.976993E-06   0.134119E-07
   626   0.200780E+04   0.219251E+02   0.626941E-05   0.219251E+02   0.278097E+02  -0.985417E-06   0.626941E-05  -0.985417E-06   0.133778E-07
   627   0.199883E+04   0.209112E+02   0.633216E-05   0.209112E+02   0.281077E+02  -0.993700E-06   0.633216E-05  -0.993700E-06   0.133438E-07
   628   0.199000E+04   0.198683E+02   0.639492E-05   0.198683E+02   0.284036E+02  -0.100184E-05   0.639492E-05  -0.100184E-05   0.133100E-07
   629   0.198130E+04   0.187971E+02   0.645768E-05   0.187971E+02   0.286974E+02  -0.100985E-05   0.645768E-05  -0.100985E-05   0.132763E-07
   630   0.197274E+04   0.176980E+02   0.652042E-05   0.176980E+02   0.289889E+02  -0.101771E-05   0.652042E-05  -0.101771E-05   0.132427E-07
   631   0.196432E+04   0.165714E+02   0.658314E-05   0.165714E+02   0.292780E+02  -0.102544E-05   0.658314E-05  -0.102544E-05   0.132093E-07
   632   0.195604E+04   0.154179E+02   0.664582E-05   0.154179E+02   0.295645E+02  -0.103303E-05   0.664582E-05  -0.103303E-05   0.131760E-07
   633   0.194791E+04   0.142379E+02   0.670843E-05   0.142379E+02   0.298484E+02  -0.104049E-05   0.670843E-05  -0.104049E-05   0.131429E-07
   634   0.193993E+04   0.130320E+02   0.677098E-05   0.130320E+02   0.301295E+02  -0.104781E-05   0.677098E-05  -0.104781E-05   0.131098E-07
   635   0.193209E+04   0.118008E+02   0.683344E-05   0.118008E+02   0.304077E+02  -0.105500E-05   0.683344E-05  -0.105500E-05   0.130769E-07
   636   0.192441E+04   0.105448E+02   0.689581E-05   0.105448E+02   0.306829E+02  -0.106206E-05   0.689581E-05  -0.106206E-05   0.130441E-07
   637   0.191689E+04   0.926452E+01   0.695806E-05   0.926452E+01   0.309551E+02  -0.106898E-05   0.695806E-05  -0.106898E-05   0.130115E-07
   638   0.190953E+04   0.796067E+01   0.702018E-05   0.796067E+01   0.312240E+02  -0.107577E-05   0.702018E-05  -0.107577E-05   0.129790E-07
   639   0.190232E+04   0.663376E+01   0.708216E-05   0.663376E+01   0.314896E+02  -0.108244E-05   0.708216E-05  -0.108244E-05   0.129466E-07
   640   0.189527E+04   0.528439E+01   0.714399E-05   0.528439E+01   0.317517E+02  -0.108897E-05   0.714399E-05  -0.108897E-05   0.129143E-07
   641   0.188839E+04   0.391315E+01   0.720564E-05   0.391315E+01   0.320104E+02  -0.109537E-05   0.720564E-05  -0.109537E-05   0.128821E-07
   642   0.188166E+04   0.252069E+01   0.726712E-05   0.252069E+01   0.322653E+02  -0.110165E-05   0.726712E-05  -0.110165E-05   0.128501E-07
   643   0.187511E+04   0.110767E+01   0.732839E-05   0.110767E+01   0.325165E+02  -0.110780E-05   0.732839E-05  -0.110780E-05   0.128181E-07
   644   0.186872E+04  -0.325218E+00   0.738946E-05  -0.325218E+00   0.327639E+02  -0.111383E-05   0.738946E-05  -0.111383E-05   0.127863E-07
   645   0.186250E+04  -0.177732E+01   0.745030E-05  -0.177732E+01   0.330072E+02  -0.111973E-05   0.745030E-05  -0.111973E-05   0.127547E-07
   646   0.185646E+04  -0.324797E+01   0.751089E-05  -0.324797E+01   0.332463E+02  -0.112551E-05   0.751089E-05  -0.112551E-05   0.127231E-07
   647   0.185058E+04  -0.473643E+01   0.757124E-05  -0.473643E+01   0.334813E+02  -0.113116E-05   0.757124E-05  -0.113116E-05   0.126916E-07
   648   0.184487E+04  -0.624216E+01   0.763132E-05  -0.624216E+01   0.337119E+02  -0.113669E-05   0.763132E-05  -0.113669E-05   0.126603E-07
   649   0.183934E+04  -0.776427E+01   0.769111E-05  -0.776427E+01   0.339380E+02  -0.114210E-05   0.769111E-05  -0.114210E-05   0.126290E-07
   650   0.183398E+04  -0.930215E+01   0.775061E-05  -0.930215E+01   0.341597E+02  -0.114739E-05   0.775061E-05  -0.114739E-05   0.125979E-07
   651   0.182880E+04  -0.108550E+02   0.780980E-05  -0.108550E+02   0.343768E+02  -0.115256E-05   0.780980E-05  -0.115256E-05   0.125669E-07
   652   0.182379E+04  -0.124223E+02   0.786868E-05  -0.124223E+02   0.345894E+02  -0.115761E-05   0.786868E-05  -0.115761E-05   0.125360E-07
   653   0.181897E+04  -0.140036E+02   0.792724E-05  -0.140036E+02   0.347972E+02  -0.116254E-05   0.792724E-05  -0.116254E-05   0.125052E-07
   654   0.181433E+04  -0.155983E+02   0.798548E-05  -0.155983E+02   0.350003E+02  -0.116735E-05   0.798548E-05  -0.116735E-05   0.124745E-07
