#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    42   0.978510E+05   0.764938E+02  -0.682118E-02   0.764938E+02   0.670078E-01  -0.307436E-05  -0.682118E-02  -0.307436E-05   0.148162E-06
    43   0.997461E+05   0.798070E+02  -0.713103E-02   0.798070E+02   0.724137E-01  -0.335323E-05  -0.713103E-02  -0.335323E-05   0.148014E-06
    44   0.101302E+06   0.819825E+02  -0.656130E-02   0.819825E+02   0.780994E-01  -0.334295E-05  -0.656130E-02  -0.334295E-05   0.147853E-06
    45   0.989981E+05   0.816730E+02  -0.530871E-02   0.816730E+02   0.840770E-01  -0.300824E-05  -0.530871E-02  -0.300824E-05   0.147643E-06
    46   0.903558E+05   0.780151E+02  -0.358116E-02   0.780151E+02   0.903535E-01  -0.234804E-05  -0.358116E-02  -0.234804E-05   0.147356E-06
    47   0.770712E+05   0.720799E+02  -0.163121E-02   0.720799E+02   0.969294E-01  -0.149808E-05  -0.163121E-02  -0.149808E-05   0.146994E-06
    48   0.618834E+05   0.654221E+02   0.277426E-03   0.654221E+02   0.103796E+00  -0.628275E-06   0.277426E-03  -0.628275E-06   0.146570E-06
    49   0.475318E+05   0.595966E+02   0.188102E-02   0.595966E+02   0.110945E+00   0.914545E-07   0.188102E-02   0.914545E-07   0.146094E-06
    50   0.367556E+05   0.561582E+02   0.291584E-02   0.561582E+02   0.118378E+00   0.491188E-06   0.291584E-02   0.491188E-06   0.145579E-06
    51   0.315852E+05   0.562435E+02   0.319559E-02   0.562435E+02   0.126099E+00   0.451362E-06   0.319559E-02   0.451362E-06   0.145031E-06
    52   0.312146E+05   0.593157E+02   0.284356E-02   0.593157E+02   0.134111E+00   0.538476E-07   0.284356E-02   0.538476E-07   0.144439E-06
    53   0.341286E+05   0.644191E+02   0.206048E-02   0.644191E+02   0.142418E+00  -0.569124E-06   0.206048E-02  -0.569124E-06   0.143785E-06
    54   0.388122E+05   0.705975E+02   0.104706E-02   0.705975E+02   0.151021E+00  -0.128532E-05   0.104706E-02  -0.128532E-05   0.143054E-06
    55   0.437505E+05   0.768940E+02   0.401647E-05   0.768940E+02   0.159924E+00  -0.196252E-05   0.401647E-05  -0.196252E-05   0.142230E-06
    56   0.476653E+05   0.824661E+02  -0.895341E-03   0.824661E+02   0.169124E+00  -0.248925E-05  -0.895341E-03  -0.248925E-05   0.141302E-06
    57   0.502249E+05   0.869306E+02  -0.158738E-02   0.869306E+02   0.178618E+00  -0.283710E-05  -0.158738E-02  -0.283710E-05   0.140283E-06
    58   0.513346E+05   0.900196E+02  -0.203587E-02   0.900196E+02   0.188404E+00  -0.299840E-05  -0.203587E-02  -0.299840E-05   0.139190E-06
    59   0.508993E+05   0.914656E+02  -0.220459E-02   0.914656E+02   0.198482E+00  -0.296551E-05  -0.220459E-02  -0.296551E-05   0.138043E-06
    60   0.488241E+05   0.910015E+02  -0.205732E-02   0.910015E+02   0.208845E+00  -0.273077E-05  -0.205732E-02  -0.273077E-05   0.136858E-06
    61   0.451400E+05   0.885366E+02  -0.158773E-02   0.885366E+02   0.219484E+00  -0.230527E-05  -0.158773E-02  -0.230527E-05   0.135653E-06
    62   0.403826E+05   0.846851E+02  -0.909094E-03   0.846851E+02   0.230397E+00  -0.177504E-05  -0.909094E-03  -0.177504E-05   0.134437E-06
    63   0.352129E+05   0.802373E+02  -0.164588E-03   0.802373E+02   0.241582E+00  -0.124485E-05  -0.164588E-03  -0.124485E-05   0.133216E-06
    64   0.302926E+05   0.759835E+02   0.502619E-03   0.759835E+02   0.253036E+00  -0.819495E-06   0.502619E-03  -0.819495E-06   0.131997E-06
    65   0.262828E+05   0.727142E+02   0.949354E-03   0.727142E+02   0.264758E+00  -0.603736E-06   0.949354E-03  -0.603736E-06   0.130788E-06
    66   0.236764E+05   0.710178E+02   0.107248E-02   0.710178E+02   0.276741E+00  -0.669680E-06   0.107248E-02  -0.669680E-06   0.129598E-06
    67   0.222915E+05   0.706765E+02   0.928982E-03   0.706765E+02   0.288979E+00  -0.958736E-06   0.928982E-03  -0.958736E-06   0.128441E-06
