#    L    TT             EE             BB             TE             PP             TP             EP          
    54   0.388122E+05   0.151021E+00   0.000000E+00   0.705975E+02   0.143055E-06   0.104603E-02  -0.128616E-05
    55   0.437505E+05   0.159924E+00   0.000000E+00   0.768940E+02   0.142230E-06   0.401647E-05  -0.196252E-05
    56   0.476653E+05   0.169124E+00   0.000000E+00   0.824661E+02   0.141302E-06  -0.894909E-03  -0.248885E-05
    57   0.502249E+05   0.178618E+00   0.000000E+00   0.869306E+02   0.140283E-06  -0.158701E-02  -0.283669E-05
    58   0.513346E+05   0.188404E+00   0.000000E+00   0.900196E+02   0.139190E-06  -0.203576E-02  -0.299819E-05
    59   0.508993E+05   0.198482E+00   0.000000E+00   0.914656E+02   0.138042E-06  -0.220468E-02  -0.296550E-05
    60   0.488241E+05   0.208845E+00   0.000000E+00   0.910015E+02   0.136858E-06  -0.205732E-02  -0.273077E-05
    61   0.451400E+05   0.219484E+00   0.000000E+00   0.885366E+02   0.135653E-06  -0.158729E-02  -0.230499E-05
    62   0.403826E+05   0.230397E+00   0.000000E+00   0.846851E+02   0.134437E-06  -0.908257E-03  -0.177446E-05
    63   0.352129E+05   0.241582E+00   0.000000E+00   0.802372E+02   0.133216E-06  -0.163680E-03  -0.124420E-05
    64   0.302926E+05   0.253036E+00   0.000000E+00   0.759835E+02   0.131997E-06   0.503202E-03  -0.819063E-06
    65   0.262828E+05   0.264758E+00   0.000000E+00   0.727142E+02   0.130788E-06   0.949354E-03  -0.603736E-06
    66   0.236764E+05   0.276741E+00   0.000000E+00   0.710178E+02   0.129598E-06   0.107193E-02  -0.670122E-06
    67   0.222915E+05   0.288979E+00   0.000000E+00   0.706765E+02   0.128441E-06   0.928155E-03  -0.959422E-06
    68   0.217778E+05   0.301462E+00   0.000000E+00   0.712706E+02   0.127336E-06   0.615119E-03  -0.138029E-05
    69   0.217848E+05   0.314182E+00   0.000000E+00   0.723807E+02   0.126301E-06   0.229784E-03  -0.184150E-05
    70   0.219621E+05   0.327133E+00   0.000000E+00   0.735871E+02   0.125351E-06  -0.131016E-03  -0.225196E-05
    71   0.220084E+05   0.340311E+00   0.000000E+00   0.745104E+02   0.124500E-06  -0.389575E-03  -0.253864E-05
    72   0.218184E+05   0.353711E+00   0.000000E+00   0.749332E+02   0.123735E-06  -0.544266E-03  -0.270049E-05
    73   0.213364E+05   0.367329E+00   0.000000E+00   0.746788E+02   0.123038E-06  -0.612456E-03  -0.275442E-05
    74   0.205060E+05   0.381152E+00   0.000000E+00   0.735717E+02   0.122392E-06  -0.611489E-03  -0.271732E-05
    75   0.192712E+05   0.395170E+00   0.000000E+00   0.714364E+02   0.121778E-06  -0.558683E-03  -0.260603E-05
    76   0.176125E+05   0.409368E+00   0.000000E+00   0.681809E+02   0.121179E-06  -0.470461E-03  -0.243857E-05
    77   0.156570E+05   0.423735E+00   0.000000E+00   0.640462E+02   0.120584E-06  -0.359720E-03  -0.223767E-05
    78   0.135690E+05   0.438259E+00   0.000000E+00   0.593553E+02   0.119979E-06  -0.238467E-03  -0.202719E-05
    79   0.115125E+05   0.452930E+00   0.000000E+00   0.544311E+02   0.119354E-06  -0.118696E-03  -0.183097E-05
    80   0.965163E+04   0.467734E+00   0.000000E+00   0.495960E+02   0.118696E-06  -0.123898E-04  -0.167284E-05
    81   0.811507E+04   0.482662E+00   0.000000E+00   0.451171E+02   0.117998E-06   0.711935E-04  -0.157038E-05
    82   0.688999E+04   0.497703E+00   0.000000E+00   0.410376E+02   0.117269E-06   0.133660E-03  -0.151633E-05
    83   0.592813E+04   0.512846E+00   0.000000E+00   0.373444E+02   0.116522E-06   0.179327E-03  -0.149723E-05
    84   0.518123E+04   0.528080E+00   0.000000E+00   0.340251E+02   0.115771E-06   0.212507E-03  -0.149962E-05
    85   0.460103E+04   0.543393E+00   0.000000E+00   0.310667E+02   0.115029E-06   0.237509E-03  -0.151006E-05
    86   0.414430E+04   0.558776E+00   0.000000E+00   0.284559E+02   0.114305E-06   0.257953E-03  -0.151762E-05
    87   0.378781E+04   0.574216E+00   0.000000E+00   0.261767E+02   0.113596E-06   0.274722E-03  -0.152139E-05
    88   0.351336E+04   0.589700E+00   0.000000E+00   0.242128E+02   0.112895E-06   0.288014E-03  -0.152295E-05
    89   0.330277E+04   0.605215E+00   0.000000E+00   0.225475E+02   0.112196E-06   0.298025E-03  -0.152385E-05
    90   0.313786E+04   0.620743E+00   0.000000E+00   0.211640E+02   0.111492E-06   0.304954E-03  -0.152569E-05
    91   0.300316E+04   0.636272E+00   0.000000E+00   0.200449E+02   0.110777E-06   0.309002E-03  -0.152974E-05
    92   0.289397E+04   0.651786E+00   0.000000E+00   0.191687E+02   0.110050E-06   0.310395E-03  -0.153607E-05
    93   0.280832E+04   0.667271E+00   0.000000E+00   0.185131E+02   0.109315E-06   0.309365E-03  -0.154446E-05
    94   0.274420E+04   0.682714E+00   0.000000E+00   0.180558E+02   0.108571E-06   0.306143E-03  -0.155469E-05
    95   0.269963E+04   0.698100E+00   0.000000E+00   0.177745E+02   0.107822E-06   0.300958E-03  -0.156654E-05
    96   0.267261E+04   0.713416E+00   0.000000E+00   0.176470E+02   0.107067E-06   0.294043E-03  -0.157977E-05
    97   0.266115E+04   0.728645E+00   0.000000E+00   0.176510E+02   0.106308E-06   0.285626E-03  -0.159417E-05
