#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.258516E+00   0.757948E+06   0.754473E+06  -0.270989E+00  -0.276343E+00   0.155657E+05   0.754058E+06   0.757402E+06   0.754058E+06  -0.180137E-01   0.398719E+06   0.398680E+06   0.505178E-01
   0.263920E+00   0.737049E+06   0.733706E+06  -0.252841E+00  -0.257837E+00   0.146272E+05   0.733270E+06   0.736524E+06   0.733270E+06  -0.175171E-01   0.387728E+06   0.387690E+06   0.478786E-01
   0.269324E+00   0.715468E+06   0.712179E+06  -0.235687E+00  -0.240344E+00   0.137290E+05   0.711791E+06   0.714951E+06   0.711791E+06  -0.170040E-01   0.376371E+06   0.376334E+06   0.461920E-01
   0.274729E+00   0.693634E+06   0.690346E+06  -0.219592E+00  -0.223931E+00   0.128766E+05   0.690051E+06   0.693117E+06   0.690051E+06  -0.164846E-01   0.364877E+06   0.364840E+06   0.451029E-01
   0.280133E+00   0.672115E+06   0.668808E+06  -0.204647E+00  -0.208690E+00   0.120773E+05   0.668623E+06   0.671595E+06   0.668623E+06  -0.159727E-01   0.353547E+06   0.353510E+06   0.442159E-01
   0.285537E+00   0.651490E+06   0.648174E+06  -0.190927E+00  -0.194699E+00   0.113376E+05   0.648086E+06   0.650969E+06   0.648086E+06  -0.154821E-01   0.342688E+06   0.342651E+06   0.431978E-01
   0.290941E+00   0.632282E+06   0.628989E+06  -0.178477E+00  -0.182004E+00   0.106619E+05   0.628966E+06   0.631765E+06   0.628966E+06  -0.150254E-01   0.332578E+06   0.332542E+06   0.418456E-01
   0.296346E+00   0.614817E+06   0.611590E+06  -0.167276E+00  -0.170581E+00   0.100508E+05   0.611586E+06   0.614310E+06   0.611586E+06  -0.146102E-01   0.323389E+06   0.323354E+06   0.401071E-01
   0.301750E+00   0.599087E+06   0.595966E+06  -0.157212E+00  -0.160318E+00   0.949922E+04   0.595941E+06   0.598596E+06   0.595941E+06  -0.142365E-01   0.315117E+06   0.315082E+06   0.380608E-01
   0.307154E+00   0.584781E+06   0.581792E+06  -0.148109E+00  -0.151035E+00   0.899785E+04   0.581719E+06   0.584312E+06   0.581719E+06  -0.138967E-01   0.307597E+06   0.307564E+06   0.358684E-01
   0.312559E+00   0.571454E+06   0.568605E+06  -0.139775E+00  -0.142537E+00   0.853632E+04   0.568471E+06   0.571006E+06   0.568471E+06  -0.135802E-01   0.300592E+06   0.300560E+06   0.337190E-01
   0.317963E+00   0.558675E+06   0.555957E+06  -0.132047E+00  -0.134656E+00   0.810551E+04   0.555768E+06   0.558248E+06   0.555768E+06  -0.132768E-01   0.293875E+06   0.293845E+06   0.317770E-01
   0.323367E+00   0.546099E+06   0.543488E+06  -0.124799E+00  -0.127264E+00   0.769847E+04   0.543264E+06   0.545688E+06   0.543264E+06  -0.129780E-01   0.287263E+06   0.287234E+06   0.301449E-01
   0.328771E+00   0.533490E+06   0.530957E+06  -0.117944E+00  -0.120274E+00   0.731049E+04   0.530722E+06   0.533092E+06   0.530722E+06  -0.126784E-01   0.280632E+06   0.280604E+06   0.288485E-01
   0.334176E+00   0.520768E+06   0.518285E+06  -0.111438E+00  -0.113640E+00   0.693937E+04   0.518064E+06   0.520378E+06   0.518064E+06  -0.123760E-01   0.273939E+06   0.273911E+06   0.278442E-01
   0.339580E+00   0.508025E+06   0.505572E+06  -0.105278E+00  -0.107358E+00   0.658539E+04   0.505381E+06   0.507640E+06   0.505381E+06  -0.120731E-01   0.267233E+06   0.267205E+06   0.270424E-01
   0.344984E+00   0.495477E+06   0.493043E+06  -0.994861E-01  -0.101451E+00   0.625031E+04   0.492892E+06   0.495095E+06   0.492892E+06  -0.117747E-01   0.260629E+06   0.260602E+06   0.263372E-01
   0.350388E+00   0.483365E+06   0.480951E+06  -0.940829E-01  -0.959416E-01   0.593600E+04   0.480836E+06   0.482986E+06   0.480836E+06  -0.114867E-01   0.254254E+06   0.254227E+06   0.256333E-01
   0.355793E+00   0.471862E+06   0.469477E+06  -0.890749E-01  -0.908346E-01   0.564326E+04   0.469388E+06   0.471487E+06   0.469388E+06  -0.112132E-01   0.248201E+06   0.248175E+06   0.248658E-01
   0.361197E+00   0.461051E+06   0.458708E+06  -0.844493E-01  -0.861176E-01   0.537170E+04   0.458630E+06   0.460683E+06   0.458630E+06  -0.109562E-01   0.242513E+06   0.242487E+06   0.240090E-01
   0.366601E+00   0.450935E+06   0.448648E+06  -0.801797E-01  -0.817636E-01   0.512004E+04   0.448568E+06   0.450575E+06   0.448568E+06  -0.107158E-01   0.237192E+06   0.237167E+06   0.230748E-01
   0.372006E+00   0.441453E+06   0.439231E+06  -0.762305E-01  -0.777364E-01   0.488635E+04   0.439137E+06   0.441104E+06   0.439137E+06  -0.104906E-01   0.232206E+06   0.232182E+06   0.221023E-01
   0.377410E+00   0.432483E+06   0.430330E+06  -0.725590E-01  -0.739924E-01   0.466822E+04   0.430218E+06   0.432145E+06   0.430218E+06  -0.102775E-01   0.227490E+06   0.227466E+06   0.211421E-01
   0.382814E+00   0.423865E+06   0.421779E+06  -0.691203E-01  -0.704858E-01   0.446299E+04   0.421648E+06   0.423537E+06   0.421648E+06  -0.100728E-01   0.222958E+06   0.222935E+06   0.202412E-01
   0.388218E+00   0.415447E+06   0.413420E+06  -0.658753E-01  -0.671766E-01   0.426836E+04   0.413277E+06   0.415129E+06   0.413277E+06  -0.987277E-02   0.218532E+06   0.218509E+06   0.194319E-01
   0.393623E+00   0.407132E+06   0.405154E+06  -0.627968E-01  -0.640373E-01   0.408277E+04   0.405006E+06   0.406821E+06   0.405006E+06  -0.967519E-02   0.214159E+06   0.214137E+06   0.187267E-01
   0.399027E+00   0.398889E+06   0.396951E+06  -0.598705E-01  -0.610532E-01   0.390544E+04   0.396806E+06   0.398585E+06   0.396806E+06  -0.947930E-02   0.209823E+06   0.209801E+06   0.181190E-01
   0.404431E+00   0.390744E+06   0.388836E+06  -0.570911E-01  -0.582189E-01   0.373619E+04   0.388701E+06   0.390444E+06   0.388701E+06  -0.928568E-02   0.205537E+06   0.205516E+06   0.175871E-01
   0.409835E+00   0.382747E+06   0.380866E+06  -0.544576E-01  -0.555334E-01   0.357508E+04   0.380744E+06   0.382452E+06   0.380744E+06  -0.909559E-02   0.201330E+06   0.201309E+06   0.171021E-01
   0.415240E+00   0.374961E+06   0.373104E+06  -0.519700E-01  -0.529967E-01   0.342226E+04   0.372996E+06   0.374669E+06   0.372996E+06  -0.891049E-02   0.197233E+06   0.197212E+06   0.166356E-01
   0.420644E+00   0.367442E+06   0.365612E+06  -0.496278E-01  -0.506082E-01   0.327782E+04   0.365515E+06   0.367155E+06   0.365515E+06  -0.873178E-02   0.193277E+06   0.193257E+06   0.161662E-01
   0.426048E+00   0.360238E+06   0.358438E+06  -0.474284E-01  -0.483653E-01   0.314172E+04   0.358347E+06   0.359956E+06   0.358347E+06  -0.856056E-02   0.189487E+06   0.189467E+06   0.156829E-01
   0.431453E+00   0.353367E+06   0.351600E+06  -0.453657E-01  -0.462618E-01   0.301366E+04   0.351512E+06   0.353089E+06   0.351512E+06  -0.839726E-02   0.185873E+06   0.185853E+06   0.151856E-01
   0.436857E+00   0.346806E+06   0.345077E+06  -0.434289E-01  -0.442868E-01   0.289303E+04   0.344986E+06   0.346535E+06   0.344986E+06  -0.824136E-02   0.182422E+06   0.182403E+06   0.146821E-01
   0.442261E+00   0.340506E+06   0.338816E+06  -0.416045E-01  -0.424264E-01   0.277904E+04   0.338720E+06   0.340241E+06   0.338720E+06  -0.809167E-02   0.179109E+06   0.179090E+06   0.141851E-01
   0.447665E+00   0.334414E+06   0.332761E+06  -0.398798E-01  -0.406676E-01   0.267090E+04   0.332660E+06   0.334154E+06   0.332660E+06  -0.794691E-02   0.175905E+06   0.175886E+06   0.137078E-01
   0.453070E+00   0.328487E+06   0.326871E+06  -0.382443E-01  -0.389998E-01   0.256800E+04   0.326765E+06   0.328233E+06   0.326765E+06  -0.780609E-02   0.172788E+06   0.172770E+06   0.132607E-01
   0.458474E+00   0.322692E+06   0.321109E+06  -0.366893E-01  -0.374141E-01   0.246984E+04   0.321001E+06   0.322443E+06   0.321001E+06  -0.766840E-02   0.169740E+06   0.169722E+06   0.128493E-01
   0.463878E+00   0.317001E+06   0.315446E+06  -0.352075E-01  -0.359030E-01   0.237594E+04   0.315340E+06   0.316757E+06   0.315340E+06  -0.753315E-02   0.166746E+06   0.166729E+06   0.124730E-01
   0.469283E+00   0.311401E+06   0.309872E+06  -0.337936E-01  -0.344612E-01   0.228604E+04   0.309769E+06   0.311161E+06   0.309769E+06  -0.740006E-02   0.163800E+06   0.163783E+06   0.121271E-01
   0.474687E+00   0.305907E+06   0.304401E+06  -0.324458E-01  -0.330867E-01   0.220005E+04   0.304302E+06   0.305670E+06   0.304302E+06  -0.726947E-02   0.160910E+06   0.160893E+06   0.118037E-01
   0.480091E+00   0.300544E+06   0.299060E+06  -0.311634E-01  -0.317790E-01   0.211798E+04   0.298967E+06   0.300311E+06   0.298967E+06  -0.714202E-02   0.158089E+06   0.158072E+06   0.114949E-01
   0.485495E+00   0.295334E+06   0.293872E+06  -0.299453E-01  -0.305368E-01   0.203979E+04   0.293784E+06   0.295105E+06   0.293784E+06  -0.701820E-02   0.155348E+06   0.155332E+06   0.111936E-01
   0.490900E+00   0.290286E+06   0.288846E+06  -0.287889E-01  -0.293576E-01   0.196535E+04   0.288761E+06   0.290059E+06   0.288761E+06  -0.689820E-02   0.152692E+06   0.152676E+06   0.108952E-01
   0.496304E+00   0.285399E+06   0.283982E+06  -0.276913E-01  -0.282383E-01   0.189451E+04   0.283900E+06   0.285176E+06   0.283900E+06  -0.678208E-02   0.150122E+06   0.150106E+06   0.105980E-01
   0.501708E+00   0.280673E+06   0.279281E+06  -0.266494E-01  -0.271758E-01   0.182708E+04   0.279199E+06   0.280455E+06   0.279199E+06  -0.666978E-02   0.147636E+06   0.147620E+06   0.103033E-01
   0.507113E+00   0.276101E+06   0.274734E+06  -0.256596E-01  -0.261664E-01   0.176286E+04   0.274651E+06   0.275886E+06   0.274651E+06  -0.656113E-02   0.145231E+06   0.145216E+06   0.100138E-01
   0.512517E+00   0.271665E+06   0.270322E+06  -0.247178E-01  -0.252060E-01   0.170160E+04   0.270239E+06   0.271454E+06   0.270239E+06  -0.645573E-02   0.142898E+06   0.142883E+06   0.973311E-02
   0.517921E+00   0.267344E+06   0.266025E+06  -0.238197E-01  -0.242902E-01   0.164302E+04   0.265940E+06   0.267137E+06   0.265940E+06  -0.635305E-02   0.140625E+06   0.140610E+06   0.946421E-02
   0.523325E+00   0.263119E+06   0.261823E+06  -0.229617E-01  -0.234152E-01   0.158692E+04   0.261738E+06   0.262916E+06   0.261738E+06  -0.625265E-02   0.138403E+06   0.138388E+06   0.920898E-02
   0.528730E+00   0.258981E+06   0.257705E+06  -0.221409E-01  -0.225783E-01   0.153310E+04   0.257621E+06   0.258781E+06   0.257621E+06  -0.615431E-02   0.136226E+06   0.136212E+06   0.896792E-02
   0.534134E+00   0.254928E+06   0.253672E+06  -0.213557E-01  -0.217775E-01   0.148149E+04   0.253589E+06   0.254731E+06   0.253589E+06  -0.605799E-02   0.134094E+06   0.134080E+06   0.874016E-02
   0.539538E+00   0.250960E+06   0.249723E+06  -0.206043E-01  -0.210113E-01   0.143197E+04   0.249642E+06   0.250766E+06   0.249642E+06  -0.596369E-02   0.132007E+06   0.131993E+06   0.852374E-02
   0.544942E+00   0.247077E+06   0.245858E+06  -0.198851E-01  -0.202779E-01   0.138446E+04   0.245779E+06   0.246885E+06   0.245779E+06  -0.587141E-02   0.129964E+06   0.129951E+06   0.831624E-02
   0.550347E+00   0.243282E+06   0.242080E+06  -0.191971E-01  -0.195763E-01   0.133890E+04   0.242004E+06   0.243093E+06   0.242004E+06  -0.578122E-02   0.127968E+06   0.127955E+06   0.811534E-02
   0.555751E+00   0.239582E+06   0.238397E+06  -0.185392E-01  -0.189055E-01   0.129524E+04   0.238322E+06   0.239396E+06   0.238322E+06  -0.569328E-02   0.126021E+06   0.126008E+06   0.791935E-02
   0.561155E+00   0.235980E+06   0.234813E+06  -0.179106E-01  -0.182644E-01   0.125342E+04   0.234740E+06   0.235797E+06   0.234740E+06  -0.560770E-02   0.124127E+06   0.124114E+06   0.772737E-02
   0.566560E+00   0.232476E+06   0.231326E+06  -0.173096E-01  -0.176515E-01   0.121337E+04   0.231254E+06   0.232296E+06   0.231254E+06  -0.552442E-02   0.122284E+06   0.122271E+06   0.753920E-02
   0.571964E+00   0.229062E+06   0.227929E+06  -0.167347E-01  -0.170652E-01   0.117496E+04   0.227858E+06   0.228884E+06   0.227858E+06  -0.544329E-02   0.120488E+06   0.120475E+06   0.735521E-02
   0.577368E+00   0.225731E+06   0.224615E+06  -0.161841E-01  -0.165037E-01   0.113811E+04   0.224544E+06   0.225556E+06   0.224544E+06  -0.536413E-02   0.118736E+06   0.118723E+06   0.717614E-02
   0.580825E+00   0.223645E+06   0.222541E+06  -0.158442E-01  -0.161572E-01   0.111533E+04   0.222469E+06   0.223472E+06   0.222469E+06  -0.536126E-02   0.117639E+06   0.117626E+06   0.706397E-02
   0.604055E+00   0.210341E+06   0.209303E+06  -0.137777E-01  -0.140499E-01   0.976092E+03   0.209235E+06   0.210178E+06   0.209235E+06  -0.499841E-02   0.110641E+06   0.110629E+06   0.638289E-02
   0.628214E+00   0.197730E+06   0.196754E+06  -0.119748E-01  -0.122113E-01   0.853585E+03   0.196690E+06   0.197577E+06   0.196690E+06  -0.473095E-02   0.104007E+06   0.103996E+06   0.577551E-02
   0.653340E+00   0.185876E+06   0.184959E+06  -0.104078E-01  -0.106133E-01   0.746268E+03   0.184898E+06   0.185732E+06   0.184898E+06  -0.441702E-02   0.977719E+05   0.977616E+05   0.521613E-02
   0.818533E+00   0.129736E+06   0.129096E+06  -0.462821E-02  -0.471963E-02   0.341688E+03   0.129053E+06   0.129636E+06   0.129053E+06  -0.309536E-02   0.682417E+05   0.682346E+05   0.290392E-02
   0.102549E+01   0.900045E+05   0.895606E+05  -0.204565E-02  -0.208605E-02   0.154427E+03   0.895301E+05   0.899348E+05   0.895301E+05  -0.214436E-02   0.473427E+05   0.473378E+05   0.160663E-02
   0.128479E+01   0.621005E+05   0.617943E+05  -0.899235E-03  -0.916996E-03   0.690212E+02   0.617730E+05   0.620524E+05   0.617730E+05  -0.148280E-02   0.326650E+05   0.326616E+05   0.883915E-03
   0.160964E+01   0.426371E+05   0.424269E+05  -0.393347E-03  -0.401116E-03   0.305597E+02   0.424122E+05   0.426041E+05   0.424122E+05  -0.101629E-02   0.224272E+05   0.224249E+05   0.483765E-03
   0.201662E+01   0.291446E+05   0.290010E+05  -0.171299E-03  -0.174682E-03   0.134238E+02   0.289908E+05   0.291220E+05   0.289908E+05  -0.694679E-03   0.153301E+05   0.153285E+05   0.263453E-03
   0.252652E+01   0.198418E+05   0.197441E+05  -0.742994E-04  -0.757668E-04   0.585766E+01   0.197372E+05   0.198265E+05   0.197372E+05  -0.472632E-03   0.104369E+05   0.104358E+05   0.142772E-03
   0.316533E+01   0.134594E+05   0.133931E+05  -0.321097E-04  -0.327439E-04   0.254192E+01   0.133884E+05   0.134490E+05   0.133884E+05  -0.320974E-03   0.707969E+04   0.707896E+04   0.769816E-04
   0.396567E+01   0.909980E+04   0.905498E+04  -0.138308E-04  -0.141040E-04   0.109793E+01   0.905178E+04   0.909276E+04   0.905178E+04  -0.216565E-03   0.478651E+04   0.478602E+04   0.412767E-04
   0.496836E+01   0.613373E+04   0.610353E+04  -0.593944E-05  -0.605674E-05   0.472356E+00   0.610136E+04   0.612898E+04   0.610136E+04  -0.146257E-03   0.322635E+04   0.322603E+04   0.219854E-04
   0.622459E+01   0.412305E+04   0.410276E+04  -0.254358E-05  -0.259381E-05   0.202530E+00   0.410129E+04   0.411986E+04   0.410129E+04  -0.979756E-04   0.216873E+04   0.216852E+04   0.116099E-04
   0.779844E+01   0.276447E+04   0.275088E+04  -0.108653E-05  -0.110799E-05   0.865817E-01   0.274989E+04   0.276234E+04   0.274989E+04  -0.659286E-04   0.145412E+04   0.145398E+04   0.605771E-05
