#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.693205E-01   0.405129E+07   0.403745E+07  -0.201040E+02  -0.205022E+02   0.562352E+06   0.403340E+07   0.404912E+07   0.403340E+07  -0.963547E-01   0.213213E+07   0.213196E+07   0.802076E+00
   0.736530E-01   0.381656E+07   0.380376E+07  -0.167796E+02  -0.171120E+02   0.491555E+06   0.379957E+07   0.381455E+07   0.379957E+07  -0.907687E-01   0.200856E+07   0.200841E+07   0.717701E+00
   0.779856E-01   0.358156E+07   0.356866E+07  -0.140472E+02  -0.143254E+02   0.429267E+06   0.356533E+07   0.357953E+07   0.356533E+07  -0.851728E-01   0.188478E+07   0.188462E+07   0.683827E+00
   0.823181E-01   0.334931E+07   0.333556E+07  -0.117908E+02  -0.120243E+02   0.374572E+06   0.333375E+07   0.334715E+07   0.333375E+07  -0.796404E-01   0.176239E+07   0.176222E+07   0.676580E+00
   0.866506E-01   0.312617E+07   0.311128E+07  -0.993273E+01  -0.101293E+02   0.327047E+06   0.311123E+07   0.312383E+07   0.311123E+07  -0.743246E-01   0.164478E+07   0.164461E+07   0.676204E+00
   0.909831E-01   0.291837E+07   0.290243E+07  -0.841063E+01  -0.857708E+01   0.286267E+06   0.290402E+07   0.291587E+07   0.290402E+07  -0.693744E-01   0.153526E+07   0.153508E+07   0.668530E+00
   0.963874E-01   0.268791E+07   0.267128E+07  -0.690237E+01  -0.703895E+01   0.244056E+06   0.267429E+07   0.268530E+07   0.267429E+07  -0.638865E-01   0.141384E+07   0.141366E+07   0.637113E+00
   0.101792E+00   0.249515E+07   0.247882E+07  -0.574548E+01  -0.585915E+01   0.210376E+06   0.248230E+07   0.249259E+07   0.248230E+07  -0.593000E-01   0.131236E+07   0.131218E+07   0.579051E+00
   0.107196E+00   0.234159E+07   0.232652E+07  -0.486249E+01  -0.495868E+01   0.183870E+06   0.232951E+07   0.233922E+07   0.232951E+07  -0.556499E-01   0.123160E+07   0.123144E+07   0.501379E+00
   0.112600E+00   0.222181E+07   0.220866E+07  -0.418218E+01  -0.426491E+01   0.162923E+06   0.221048E+07   0.221975E+07   0.221048E+07  -0.528063E-01   0.116868E+07   0.116854E+07   0.416411E+00
   0.118005E+00   0.212501E+07   0.211401E+07  -0.364264E+01  -0.371469E+01   0.145879E+06   0.211437E+07   0.212328E+07   0.211437E+07  -0.505104E-01   0.111788E+07   0.111776E+07   0.336950E+00
   0.123409E+00   0.203925E+07   0.203019E+07  -0.319674E+01  -0.325996E+01   0.131354E+06   0.202923E+07   0.203783E+07   0.202923E+07  -0.484766E-01   0.107287E+07   0.107277E+07   0.272748E+00
   0.128813E+00   0.195507E+07   0.194740E+07  -0.281340E+01  -0.286904E+01   0.118408E+06   0.194559E+07   0.195386E+07   0.194559E+07  -0.464784E-01   0.102866E+07   0.102857E+07   0.228627E+00
   0.134217E+00   0.186709E+07   0.186013E+07  -0.247502E+01  -0.252396E+01   0.106528E+06   0.185807E+07   0.186600E+07   0.185807E+07  -0.443875E-01   0.982390E+06   0.982308E+06   0.204262E+00
   0.139622E+00   0.177420E+07   0.176731E+07  -0.217343E+01  -0.221640E+01   0.955341E+05   0.176555E+07   0.177312E+07   0.176555E+07  -0.421775E-01   0.933486E+06   0.933404E+06   0.195299E+00
   0.145026E+00   0.167847E+07   0.167122E+07  -0.190578E+01  -0.194346E+01   0.854404E+05   0.167016E+07   0.167734E+07   0.167016E+07  -0.398986E-01   0.883056E+06   0.882971E+06   0.195217E+00
   0.150430E+00   0.158379E+07   0.157601E+07  -0.167134E+01  -0.170438E+01   0.763362E+05   0.157578E+07   0.158257E+07   0.157578E+07  -0.376439E-01   0.833161E+06   0.833072E+06   0.197338E+00
   0.155834E+00   0.149484E+07   0.148663E+07  -0.146992E+01  -0.149898E+01   0.683253E+05   0.148713E+07   0.149355E+07   0.148713E+07  -0.355262E-01   0.786296E+06   0.786204E+06   0.196457E+00
   0.161239E+00   0.141610E+07   0.140774E+07  -0.130069E+01  -0.132641E+01   0.614707E+05   0.140869E+07   0.141479E+07   0.140869E+07  -0.336522E-01   0.744825E+06   0.744734E+06   0.189747E+00
   0.166643E+00   0.135006E+07   0.134191E+07  -0.116094E+01  -0.118388E+01   0.557348E+05   0.134295E+07   0.134878E+07   0.134295E+07  -0.320819E-01   0.710073E+06   0.709984E+06   0.176855E+00
   0.172047E+00   0.129619E+07   0.128857E+07  -0.104574E+01  -0.106642E+01   0.509588E+05   0.128938E+07   0.129499E+07   0.128938E+07  -0.308021E-01   0.681751E+06   0.681669E+06   0.159373E+00
   0.177452E+00   0.125164E+07   0.124478E+07  -0.949318E+00  -0.968082E+00   0.469199E+05   0.124514E+07   0.125056E+07   0.124514E+07  -0.297452E-01   0.658360E+06   0.658285E+06   0.139982E+00
   0.182856E+00   0.121295E+07   0.120688E+07  -0.866478E+00  -0.883605E+00   0.434065E+05   0.120673E+07   0.121200E+07   0.120673E+07  -0.288276E-01   0.638053E+06   0.637986E+06   0.121540E+00
   0.188260E+00   0.117677E+07   0.117141E+07  -0.793134E+00  -0.808810E+00   0.402452E+05   0.117081E+07   0.117593E+07   0.117081E+07  -0.279695E-01   0.619062E+06   0.619002E+06   0.106294E+00
   0.193664E+00   0.114021E+07   0.113534E+07  -0.726246E+00  -0.740601E+00   0.373044E+05   0.113447E+07   0.113944E+07   0.113447E+07  -0.271015E-01   0.599851E+06   0.599796E+06   0.954199E-01
   0.199069E+00   0.110141E+07   0.109680E+07  -0.663987E+00  -0.677110E+00   0.345064E+05   0.109588E+07   0.110068E+07   0.109588E+07  -0.261795E-01   0.579446E+06   0.579393E+06   0.889286E-01
   0.204473E+00   0.106019E+07   0.105563E+07  -0.605808E+00  -0.617781E+00   0.318354E+05   0.105484E+07   0.105948E+07   0.105484E+07  -0.251992E-01   0.557751E+06   0.557699E+06   0.859007E-01
   0.209877E+00   0.101779E+07   0.101312E+07  -0.552006E+00  -0.562915E+00   0.293185E+05   0.101260E+07   0.101706E+07   0.101260E+07  -0.241901E-01   0.535419E+06   0.535365E+06   0.848911E-01
   0.215282E+00   0.976001E+06   0.971179E+06  -0.503087E+00  -0.513029E+00   0.269938E+05   0.970970E+06   0.975244E+06   0.970970E+06  -0.231955E-01   0.513406E+06   0.513351E+06   0.843754E-01
   0.220686E+00   0.936581E+06   0.931645E+06  -0.459402E+00  -0.468481E+00   0.248916E+05   0.931700E+06   0.935806E+06   0.931700E+06  -0.222574E-01   0.492644E+06   0.492589E+06   0.831270E-01
   0.226090E+00   0.900905E+06   0.895957E+06  -0.421026E+00  -0.429345E+00   0.230268E+05   0.896175E+06   0.900128E+06   0.896175E+06  -0.214087E-01   0.473861E+06   0.473806E+06   0.804489E-01
   0.231494E+00   0.869676E+06   0.864844E+06  -0.387680E+00  -0.395341E+00   0.213946E+05   0.865097E+06   0.868917E+06   0.865097E+06  -0.206663E-01   0.457430E+06   0.457377E+06   0.762278E-01
   0.236899E+00   0.842762E+06   0.838160E+06  -0.358748E+00  -0.365837E+00   0.199697E+05   0.838334E+06   0.842039E+06   0.838334E+06  -0.200270E-01   0.443279E+06   0.443228E+06   0.708345E-01
   0.242303E+00   0.819347E+06   0.815047E+06  -0.333410E+00  -0.339999E+00   0.187140E+05   0.815066E+06   0.818672E+06   0.815066E+06  -0.194711E-01   0.430976E+06   0.430929E+06   0.649275E-01
   0.247707E+00   0.798241E+06   0.794262E+06  -0.310819E+00  -0.316960E+00   0.175860E+05   0.794100E+06   0.797616E+06   0.794100E+06  -0.189703E-01   0.419891E+06   0.419847E+06   0.592259E-01
   0.253111E+00   0.778145E+06   0.774453E+06  -0.290207E+00  -0.295941E+00   0.165465E+05   0.774135E+06   0.777565E+06   0.774135E+06  -0.184933E-01   0.409335E+06   0.409293E+06   0.543136E-01
